dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,augmented_mse,current_gain,augmented_gain,augmented_gain_ci_low,augmented_gain_ci_high,augmented_minus_current_gain,augmented_minus_current_gain_ci_low,augmented_minus_current_gain_ci_high,current_activation,augmented_activation,gamma_change_rate,selected_075_rate,current_harm_rate,augmented_harm_rate,significance_class
IHDP,"IHDP A, strength=0",ihdp_semisynth,cui_selective_ml,3000,0.0,96,0.0006670987909683153,0.0006713233428591465,0.0006713233428591465,-0.006332723050957778,-0.006332723050957778,nan,nan,0.0,nan,nan,0.010416666666666666,0.010416666666666666,0.0,0.0,0.010416666666666666,0.010416666666666666,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,ma_dr_bc,3000,0.0,96,0.0074531696000392856,0.007402447016694781,0.007402447016694781,0.006805505049051419,0.006805505049051419,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.052083333333333336,0.052083333333333336,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,tmle,3000,0.0,96,0.0014808178740663182,0.0014805182770506323,0.0014805182770506323,0.00020231861117614436,0.00020231861117614436,nan,nan,0.0,nan,nan,0.08333333333333333,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,aipw,3000,3.0,96,0.004724292332800328,0.004493836316312768,0.004493836316312768,0.04878106608423127,0.04878106608423127,nan,nan,0.0,nan,nan,0.21875,0.21875,0.0,0.0,0.07291666666666667,0.07291666666666667,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,ctmle,3000,3.0,96,0.01247112435256111,0.01247112435256111,0.01247112435256111,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,cui_selective_ml,3000,3.0,96,0.015786173880885535,0.01568341080077863,0.01568341080077863,0.006509688850655282,0.006509688850655282,nan,nan,0.0,nan,nan,0.0625,0.0625,0.0,0.0,0.0,0.0,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,ma_dr_bc,3000,3.0,96,0.02743732489984493,0.026165364028081492,0.026165364028081492,0.04635877864939475,0.04635877864939475,nan,nan,0.0,nan,nan,0.21875,0.21875,0.0,0.0,0.0625,0.0625,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,tmle,3000,3.0,96,0.006192664520364626,0.005932622263786069,0.005932622263786069,0.04199198192044895,0.04199198192044895,nan,nan,0.0,nan,nan,0.21875,0.21875,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,aipw,3000,0.0,96,0.0037835277655176584,0.00363212990097371,0.00363212990097371,0.04001500026609006,0.04001500026609006,nan,nan,0.0,nan,nan,0.13541666666666666,0.13541666666666666,0.0,0.0,0.020833333333333332,0.020833333333333332,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,ctmle,3000,0.0,96,0.0011000483345700858,0.0011000483345700858,0.0011000483345700858,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,cui_selective_ml,3000,0.0,96,0.0007336966218266803,0.0007368886805406952,0.0007368886805406952,-0.004350652052980353,-0.004350652052980353,nan,nan,0.0,nan,nan,0.041666666666666664,0.041666666666666664,0.0,0.0,0.03125,0.03125,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,ma_dr_bc,3000,0.0,96,0.008778271435809731,0.008309553538363088,0.008309553538363088,0.05339523855853612,0.05339523855853612,nan,nan,0.0,nan,nan,0.13541666666666666,0.13541666666666666,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,tmle,3000,0.0,96,0.001669739467450743,0.0016276954597500492,0.0016276954597500492,0.025179980781602995,0.025179980781602995,nan,nan,0.0,nan,nan,0.13541666666666666,0.13541666666666666,0.0,0.0,0.0625,0.0625,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,aipw,3000,3.0,96,0.0033651650025805064,0.003209283045110023,0.003209283045110023,0.046322233040860805,0.046322233040860805,nan,nan,0.0,nan,nan,0.13541666666666666,0.13541666666666666,0.0,0.0,0.052083333333333336,0.052083333333333336,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ctmle,3000,3.0,96,0.0009110210726853294,0.0009110210726853294,0.0009110210726853294,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,cui_selective_ml,3000,3.0,96,0.0008140338193297175,0.0008121353995263316,0.0008121353995263316,0.0023321141681178492,0.0023321141681178492,nan,nan,0.0,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ma_dr_bc,3000,3.0,96,0.009228576166416279,0.009250080921570767,0.009250080921570767,-0.0023302354303305073,-0.0023302354303305073,nan,nan,0.0,nan,nan,0.13541666666666666,0.13541666666666666,0.0,0.0,0.07291666666666667,0.07291666666666667,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,tmle,3000,3.0,96,0.0015693489113388916,0.0015277658568337406,0.0015277658568337406,0.026497010451088543,0.026497010451088543,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,aipw,1000,0.0,96,4.643128695645413,3.2269073719412185,3.095477648268837,0.3050144453313144,0.33332073022831565,nan,nan,0.028306284897001266,nan,nan,0.9791666666666666,0.9791666666666666,0.5729166666666666,0.5729166666666666,0.375,0.375,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,ctmle,1000,0.0,96,2.2491671562509254,1.5648901808170141,1.4992618246345222,0.30423571388731896,0.33341467286335436,nan,nan,0.029178958976035396,nan,nan,1.0,1.0,0.7604166666666666,0.7604166666666666,0.3020833333333333,0.28125,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,cui_selective_ml,1000,0.0,96,1.4742298667397955,1.4750906476821897,1.4750906476821897,-0.0005838851605264317,-0.0005838851605264317,nan,nan,0.0,nan,nan,0.11458333333333333,0.11458333333333333,0.0,0.0,0.0625,0.0625,crosses_zero
