dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,residual_mse,current_gain,residual_gain,residual_gain_ci_low,residual_gain_ci_high,residual_minus_current_gain,residual_minus_current_gain_ci_low,residual_minus_current_gain_ci_high,current_activation,residual_activation,gamma_change_rate,current_harm_rate,residual_harm_rate,mean_base_residual_loss,mean_current_residual_loss,mean_selected_residual_loss,significance_class
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,aipw,3000,0.0,96,0.004751397394806656,0.004697758638659123,0.00469775863825417,0.011289048608344454,0.011289048693572612,nan,nan,8.5228157864492e-11,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.03125,0.03125,19.181264992803854,19.090818467357035,19.090818467357035,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ctmle,3000,0.0,96,0.0010416340433206303,0.0010416340433206303,0.0010416340433206303,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6071192684324971,0.6071192684324971,0.6071192684324971,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,cui_selective_ml,3000,0.0,96,0.0008727575597326152,0.0008619020123739255,0.0008616630302638576,0.012438216361042587,0.012712040526072999,nan,nan,0.00027382416503041185,nan,nan,0.1875,0.19791666666666666,0.07291666666666667,0.07291666666666667,0.08333333333333333,1.2331841690481677,1.2193146945622428,1.218898368838946,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,ma_dr_bc,3000,0.0,96,0.010874359301053979,0.010766433453064763,0.010579798731631597,0.009924800625150887,0.027087625235431734,nan,nan,0.017162824610280847,nan,nan,0.10416666666666667,0.07291666666666667,0.15625,0.041666666666666664,0.03125,19.181264992803854,19.1821657396967,19.090818467357035,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=0",acic2016_misaligned,tmle,3000,0.0,96,0.0015815139172649052,0.001592681371892138,0.001592681373479997,-0.0070612433474794845,-0.007061244351491469,nan,nan,-1.0040119846621565e-09,nan,nan,0.052083333333333336,0.052083333333333336,0.0,0.041666666666666664,0.041666666666666664,19.017958144992615,18.959209045324847,18.959209045324847,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,aipw,3000,3.0,96,0.005449742876996327,0.0054125740493969265,0.005404852874417824,0.006820290138144336,0.008237086334473953,nan,nan,0.0014167961963296172,nan,nan,0.07291666666666667,0.08333333333333333,0.010416666666666666,0.03125,0.03125,20.514081889442746,20.437566031712617,20.43232711586759,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,ctmle,3000,3.0,96,0.0011959498511479572,0.0011959498511479572,0.0011959498511479572,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6430875958736909,0.6430875958736909,0.6430875958736909,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,cui_selective_ml,3000,3.0,96,0.0012134640717155725,0.0012287812007659258,0.00123121543278621,-0.01262264735098273,-0.014628666381148792,nan,nan,-0.002006019030166062,nan,nan,0.4270833333333333,0.4375,0.11458333333333333,0.2916666666666667,0.3020833333333333,1.3353467976571223,1.300644044425752,1.3007159094471101,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,ma_dr_bc,3000,3.0,96,0.009993693751247909,0.00993159359037928,0.010034089729717114,0.006213934748688477,-0.0040421469253209,nan,nan,-0.010256081674009376,nan,nan,0.13541666666666666,0.08333333333333333,0.14583333333333334,0.052083333333333336,0.052083333333333336,20.514081889442746,20.484784744212,20.43232711586759,crosses_zero
ACIC 2016,"ACIC 2016 B, strength=3",acic2016_misaligned,tmle,3000,3.0,96,0.0018527137182205965,0.0018808162316288606,0.0018808162379504898,-0.015168297795762342,-0.015168301207854062,nan,nan,-3.412091720278454e-09,nan,nan,0.07291666666666667,0.07291666666666667,0.0,0.041666666666666664,0.041666666666666664,20.37324768025633,20.30588322685051,20.30588322685051,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,aipw,3000,0.0,96,0.004664962367770018,0.00443349954462959,0.004433499543851026,0.04961729696676498,0.04961729713366103,nan,nan,1.6689605253361606e-10,nan,nan,0.0625,0.0625,0.0,0.0,0.0,19.989068412054095,19.903078547440334,19.903078547440334,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ctmle,3000,0.0,96,0.001049465555739584,0.001049465555739584,0.001049465555739584,0.0,0.0,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.6211933910997512,0.6211933910997512,0.6211933910997512,crosses_zero
ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,cui_selective_ml,3000,0.0,96,0.0009343042609014662,0.0009254978876968566,0.0009195466079066623,0.009425594608883259,0.015795339497397642,nan,nan,0.006369744888514384,nan,nan,0.09375,0.16666666666666666,0.07291666666666667,0.020833333333333332,0.052083333333333336,1.446054163704759,1.4423894758671587,1.4410236267494108,crosses_zero
