source,dataset,setting,group,design,method,n,strength,seed0,rep,ref_error,current_error,current_gamma,current_replay_error,residual_error,residual_gamma,base_residual_loss,current_residual_loss,selected_residual_loss,eligible_count,gamma_changed,grid
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,1,-0.1531319228709118,-0.1531319228709118,0.0,-0.1531319228709118,-0.1531319228709118,0.0,21.101295765877587,21.101295765877587,21.101295765877587,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,2,-0.11301871189521455,-0.11301871189521455,0.0,-0.11301871189521455,-0.11301871189521455,0.0,16.313327649921224,16.313327649921224,16.313327649921224,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,3,-0.010071429302635557,-0.010071429302635557,0.0,-0.010071429302635557,-0.010071429302635557,0.0,20.922824759371096,20.922824759371096,20.922824759371096,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,4,0.02485490643747402,0.02485490643747402,0.0,0.02485490643747402,0.02485490643747402,0.0,19.527229561148637,19.527229561148637,19.527229561148637,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,1,0.12453090212883731,0.12453090212883731,0.0,0.12453090212883731,0.12453090212883731,0.0,30.23911097992199,30.23911097992199,30.23911097992199,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,2,-0.05820260693251161,-0.05820260693251161,0.0,-0.05820260693251161,-0.05820260693251161,0.0,19.245707254065504,19.245707254065504,19.245707254065504,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,3,0.09485563847308863,0.09485563847308863,0.0,0.09485563847308863,0.09485563847308863,0.0,20.64017062891399,20.64017062891399,20.64017062891399,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031000000,4,-0.023368077794228115,-0.023368077794228115,0.0,-0.023368077794228115,-0.023368077794228115,0.0,18.06410338727893,18.06410338727893,18.06410338727893,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,1,0.026279108119334663,0.026279108119334663,0.0,0.026279108119334663,0.026279108119334663,0.0,13.550299131578312,13.550299131578312,13.550299131578312,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,2,0.015403853733678847,0.015403853733678847,0.0,0.015403853733678847,0.015403853733678847,0.0,26.247135634724074,26.247135634724074,26.247135634724074,1,False,0|0.25|0.5|1
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2031100000,3,0.17752346661986768,0.17752346661986768,0.0,0.17752346661986768,0.17752346661986768,0.0,17.10403777471442,17.10403777471442,17.10403777471442,1,False,0|0.25|0.5|1
