dataset,setting,method,rows,active_rows,active_same_sample_harm_rows,active_fresh_risk_harm_rows,active_share,same_sample_mse_gain_pct,fresh_risk_gain_pct,gain_gap_same_minus_fresh_pct,mean_selection_penalty_delta,median_selection_penalty_delta,p90_abs_selection_penalty_delta,same_sample_harm_share,fresh_risk_harm_share,active_same_sample_harm_share,active_fresh_risk_harm_share
Kang-Schafer,"KS CC, n=1000",ma_dr_bc,96,94,29,8,0.9791666666666666,47.06927651675473,29.90448463645032,17.164791880304406,-2.1061865768308823,-1.1270163065707481,10.614947894725173,0.3020833333333333,0.08333333333333333,0.30851063829787234,0.0851063829787234
Kang-Schafer,"KS CC, n=1000",tmle,96,93,55,10,0.96875,-43.25856088358649,24.33676405205736,-67.59532493564384,2.362891873209933,1.8948193719426294,4.855086357693833,0.5729166666666666,0.10416666666666667,0.5913978494623656,0.10752688172043011
Kang-Schafer,"KS CC, n=200",aipw,96,53,20,6,0.5520833333333334,25.128785581875686,23.75448059331947,1.374304988556215,10.415502261949095,0.0,83.45346021961035,0.20833333333333334,0.0625,0.37735849056603776,0.11320754716981132
Kang-Schafer,"KS CC, n=200",ctmle,96,90,38,23,0.9375,13.01236840257194,9.66616626031891,3.3462021422530306,-0.5998445591275833,0.0,7.6924120785202055,0.3958333333333333,0.23958333333333334,0.4222222222222222,0.25555555555555554
Kang-Schafer,"KS CC, n=200",cui_selective_ml,96,6,3,4,0.0625,0.010074965785538915,-0.004854098420551601,0.014929064206090515,-0.0010221724853629655,0.0,0.0,0.03125,0.041666666666666664,0.5,0.6666666666666666
Kang-Schafer,"KS CC, n=200",ma_dr_bc,96,53,21,6,0.5520833333333334,16.296224474360514,23.75448059331947,-7.458256118958957,19.447107568563638,0.0,85.75471052034787,0.21875,0.0625,0.39622641509433965,0.11320754716981132
Kang-Schafer,"KS CC, n=200",tmle,96,48,34,9,0.5,-56.397426673582764,8.845832917295558,-65.24325959087832,13.274348196982842,0.0,43.90284969507242,0.3541666666666667,0.09375,0.7083333333333334,0.1875
Kang-Schafer,"KS CI, n=1000",aipw,96,95,37,6,0.9895833333333334,26.83617600920737,36.682236082599104,-9.846060073391733,1.472700378021677,1.258372126163361,9.137934397249333,0.3854166666666667,0.0625,0.3894736842105263,0.06315789473684211
Kang-Schafer,"KS CI, n=1000",ctmle,96,96,29,9,1.0,25.93785192347891,29.26214164428231,-3.3242897208033995,0.06364676345983888,-0.11923498667748261,2.422057055649207,0.3020833333333333,0.09375,0.3020833333333333,0.09375
Kang-Schafer,"KS CI, n=1000",cui_selective_ml,96,4,3,3,0.041666666666666664,-0.029703729349814446,-1.964600262498775e-05,-0.029684083347189458,0.00033285537798203197,0.0,0.0,0.03125,0.03125,0.75,0.75
Kang-Schafer,"KS CI, n=1000",ma_dr_bc,96,95,23,6,0.9895833333333334,52.673685307709945,36.682236082599104,15.991449225110841,-1.4129826214792782,-0.25113134051605623,11.69991304108089,0.23958333333333334,0.0625,0.24210526315789474,0.06315789473684211
Kang-Schafer,"KS CI, n=1000",tmle,96,95,57,13,0.9895833333333334,-50.43090551856479,19.996718622995854,-70.42762414156064,2.128055622709269,1.4319289464053195,5.250958906530354,0.59375,0.13541666666666666,0.6,0.1368421052631579
Kang-Schafer,"KS CI, n=200",aipw,96,70,26,11,0.7291666666666666,27.509673491845213,22.532671770937576,4.977001720907637,4.7383826396832776,0.0,58.720324351561615,0.2708333333333333,0.11458333333333333,0.37142857142857144,0.15714285714285714
Kang-Schafer,"KS CI, n=200",ctmle,96,89,33,20,0.9270833333333334,9.664207166227484,10.814182030982005,-1.1499748647545207,-0.052113457178615236,0.0,5.559227134578606,0.34375,0.20833333333333334,0.3707865168539326,0.2247191011235955
Kang-Schafer,"KS CI, n=200",cui_selective_ml,96,6,3,3,0.0625,0.08327330663399485,0.0013743770456364473,0.0818989295883584,-0.004826392265209543,0.0,0.0,0.03125,0.03125,0.5,0.5
Kang-Schafer,"KS CI, n=200",ma_dr_bc,96,70,34,11,0.7291666666666666,13.352950435560858,22.532671770937576,-9.179721335376717,16.1782838889888,1.5084113437945517,96.5968915990361,0.3645833333333333,0.11458333333333333,0.4857142857142857,0.15714285714285714
Kang-Schafer,"KS CI, n=200",tmle,96,64,38,16,0.6666666666666666,-32.849129792998646,10.417397792809659,-43.266527585808305,13.34045857857828,0.0,59.43076473883663,0.3958333333333333,0.16666666666666666,0.59375,0.25
Kang-Schafer,"KS IC, n=1000",aipw,96,54,16,9,0.5625,12.599216054159838,11.941058376271977,0.6581576778878606,0.0625544647875264,0.0,3.572148717409818,0.16666666666666666,0.09375,0.2962962962962963,0.16666666666666666
Kang-Schafer,"KS IC, n=1000",ctmle,96,80,19,1,0.8333333333333334,14.243892635042046,14.285824935121296,-0.04193230007924953,-0.010317286570091127,0.0,0.7703371894098165,0.19791666666666666,0.010416666666666666,0.2375,0.0125
Kang-Schafer,"KS IC, n=1000",cui_selective_ml,96,96,46,0,1.0,9.09617806190052,36.97033348320383,-27.87415542130331,1.0119108899215667,0.5975594286066066,3.0015701506587997,0.4791666666666667,0.0,0.4791666666666667,0.0
Kang-Schafer,"KS IC, n=1000",ma_dr_bc,96,54,21,9,0.5625,12.486541372224064,11.941058376271977,0.5454829959520868,0.23826549827583046,0.0,6.232615486906695,0.21875,0.09375,0.3888888888888889,0.16666666666666666
Kang-Schafer,"KS IC, n=1000",tmle,96,49,23,8,0.5104166666666666,-6.158892017645341,4.544127329672586,-10.703019347317927,0.38628678052072796,0.0,2.013012843469352,0.23958333333333334,0.08333333333333333,0.46938775510204084,0.16326530612244897
Kang-Schafer,"KS IC, n=200",aipw,96,38,8,8,0.3958333333333333,25.09130509614484,12.436197211024822,12.655107885120017,-6.998458413587437,0.0,116.99651808979112,0.08333333333333333,0.08333333333333333,0.21052631578947367,0.21052631578947367
Kang-Schafer,"KS IC, n=200",ctmle,96,39,17,9,0.40625,3.1042321629134864,4.836300437168065,-1.7320682742545785,0.11229839714794491,0.0,4.278187474639922,0.17708333333333334,0.09375,0.4358974358974359,0.23076923076923078
Kang-Schafer,"KS IC, n=200",cui_selective_ml,96,78,34,6,0.8125,15.681894661168252,18.610620698592808,-2.928726037424555,2.689739854243627,1.8192002118165003,17.044106271977764,0.3541666666666667,0.0625,0.4358974358974359,0.07692307692307693
Kang-Schafer,"KS IC, n=200",ma_dr_bc,96,38,16,8,0.3958333333333333,-0.8074244506230286,12.436197211024822,-13.24362166164785,17.495148761455336,0.0,49.83842542918835,0.17708333333333334,0.08333333333333333,0.42105263157894735,0.21052631578947367
Kang-Schafer,"KS IC, n=200",tmle,96,29,15,7,0.3020833333333333,-9.888920412553952,4.818909814791895,-14.707830227345848,5.570192992719911,0.0,13.78490703825205,0.15625,0.07291666666666667,0.5172413793103449,0.2413793103448276
Kang-Schafer,"KS II, n=1000",aipw,96,62,29,5,0.6458333333333334,14.247833801267863,11.723565997144364,2.5242678041234985,0.1604943534023147,0.0,4.485317767072331,0.3020833333333333,0.052083333333333336,0.46774193548387094,0.08064516129032258
Kang-Schafer,"KS II, n=1000",ctmle,96,83,20,1,0.8645833333333334,16.285269080404113,14.736835508331662,1.548433572072451,-0.05465968773606659,0.0,1.0134235556553302,0.20833333333333334,0.010416666666666666,0.24096385542168675,0.012048192771084338
Kang-Schafer,"KS II, n=1000",cui_selective_ml,96,93,25,2,0.96875,38.25027396827085,-1.0146190550134138,39.26489302328426,-8397.648550246688,0.9062371121958251,6.693553235259252,0.2604166666666667,0.020833333333333332,0.26881720430107525,0.021505376344086023
Kang-Schafer,"KS II, n=1000",ma_dr_bc,96,62,21,5,0.6458333333333334,15.755540453008674,11.723565997144364,4.03197445586431,-0.1305290423125389,0.0,4.523320083469133,0.21875,0.052083333333333336,0.3387096774193548,0.08064516129032258
Kang-Schafer,"KS II, n=1000",tmle,96,59,28,9,0.6145833333333334,-5.54675980292208,7.498768146524061,-13.045527949446141,0.6084166576243831,0.0,2.7034643741836963,0.2916666666666667,0.09375,0.4745762711864407,0.15254237288135594
Kang-Schafer,"KS II, n=200",aipw,96,28,10,5,0.2916666666666667,26.509110227156423,10.762996062870506,15.746114164285917,-3.598406544919758,0.0,44.457316046392535,0.10416666666666667,0.052083333333333336,0.35714285714285715,0.17857142857142858
Kang-Schafer,"KS II, n=200",ctmle,96,37,10,5,0.3854166666666667,6.7470733850610225,4.224313499967567,2.522759885093455,-0.41321459996315363,0.0,2.5952835520676407,0.10416666666666667,0.052083333333333336,0.2702702702702703,0.13513513513513514
Kang-Schafer,"KS II, n=200",cui_selective_ml,96,77,25,5,0.8020833333333334,32.43753553045143,19.23866983594002,13.198865694511408,6177780.631084833,0.483648840097854,68.48442419700785,0.2604166666666667,0.052083333333333336,0.3246753246753247,0.06493506493506493
Kang-Schafer,"KS II, n=200",ma_dr_bc,96,28,10,5,0.2916666666666667,12.298078400194811,10.762996062870506,1.5350823373243045,5.225128524778937,0.0,50.59763626884687,0.125,0.052083333333333336,0.35714285714285715,0.17857142857142858
Kang-Schafer,"KS II, n=200",tmle,96,23,5,6,0.23958333333333334,9.032609295480873,3.1085270833296854,5.924082212151188,2.1457903452535283,0.0,20.094838954768484,0.052083333333333336,0.0625,0.21739130434782608,0.2608695652173913
Twins,"Twins A, strength=0",aipw,96,1,1,1,0.010416666666666666,-0.024038589606243516,-0.03302162733702873,0.008983037730785213,-6.371482437026921e-07,0.0,0.0,0.010416666666666666,0.010416666666666666,1.0,1.0
