group,design,method,n,strength,reps,reference_mse,no_shrinkage_mse,c2_shrinkage_mse,no_shrinkage_gain,no_shrinkage_gain_ci_low,no_shrinkage_gain_ci_high,c2_shrinkage_gain,c2_shrinkage_gain_ci_low,c2_shrinkage_gain_ci_high,c2_minus_no_shrinkage_gain,c2_minus_no_shrinkage_gain_ci_low,c2_minus_no_shrinkage_gain_ci_high,path_activation,final_activation,no_shrinkage_harm,c2_shrinkage_harm,mean_shrink_weight
anchor,regional_shift,tmle,3000,8,96,0.0534139023596,0.053416117019,0.0534139023596,-4.14622280132e-05,-0.000137327767575,0,0,0,0,4.14622280132e-05,0,0.000137327767575,0.0104166666667,0,0.0104166666667,0,0
kang_schafer,kang_schafer_cc,aipw,200,0,96,63.3695612342,48.1215589085,53.6250226238,0.240620291963,0.0738263554079,0.386937270367,0.153773174701,0.0518920793849,0.26209365788,-0.0868471172617,-0.189839328443,0.026469557935,0.583333333333,0.135416666667,0.25,0.0104166666667,0.0570502596345
kang_schafer,kang_schafer_cc,aipw,1000,0,96,4.64312869565,3.11773794146,3.7743392649,0.328526485948,0.143965078617,0.472054793124,0.187112933476,0.0905056469278,0.286689506131,-0.141413552472,-0.257645177236,0.0102450543438,1,0.197916666667,0.395833333333,0.0104166666667,0.0784363978456
kang_schafer,kang_schafer_cc,ctmle,200,0,96,11.7799327768,11.8823747768,11.8271062219,-0.00869631448124,-0.0241314531839,0.00125331534083,-0.0040045597926,-0.0143617017758,0.000282928827977,0.00469175468865,-0.00130866398312,0.0146977562447,0.0729166666667,0.0208333333333,0.0416666666667,0.0104166666667,0.011145198431
kang_schafer,kang_schafer_cc,ctmle,1000,0,96,2.24916715625,2.24916715625,2.24916715625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kang_schafer,kang_schafer_cc,cui_selective_ml,200,0,96,7.02434092717,7.04576036052,7.03964520304,-0.0030493157394,-0.00903583155752,0.00160404283614,-0.00217874901422,-0.00574456899309,0.000225950236511,0.00087056672518,-0.00156948977266,0.00386573487379,0.09375,0.0416666666667,0.0520833333333,0.03125,0.0216389808707
kang_schafer,kang_schafer_cc,cui_selective_ml,1000,0,96,1.47422986674,1.47764380564,1.47555566537,-0.00231574395257,-0.00696375610728,0.00168838069957,-0.000899316085126,-0.00292609648817,0.000331203455105,0.00141642786744,-0.00188031594149,0.00513737694551,0.177083333333,0.0520833333333,0.0833333333333,0.03125,0.0210460726931
kang_schafer,kang_schafer_cc,ma_dr_bc,200,0,96,42.2944337257,37.5859021849,38.1520271544,0.11132745201,-0.000949847503689,0.224854751039,0.097942121609,0.0158696943962,0.1886779583,-0.0133853304006,-0.0579415448871,0.0363548451531,0.520833333333,0.25,0.1875,0.09375,0.159605337959
kang_schafer,kang_schafer_cc,ma_dr_bc,1000,0,96,9.18912498442,6.34712180479,6.89630572743,0.309278977536,0.225093228388,0.389922483599,0.249514427204,0.170603855798,0.326215606892,-0.0597645503325,-0.0930504090394,-0.0310556963845,0.864583333333,0.59375,0.239583333333,0.0833333333333,0.425996558679
kang_schafer,kang_schafer_cc,tmle,200,0,96,10.0278410352,16.5118408633,10.4883791648,-0.646599782092,-1.08326688371,-0.328032502081,-0.0459259503641,-0.106247762621,-0.0057086732314,0.600673831728,0.307874619325,1.010696032,0.53125,0.09375,0.385416666667,0.0729166666667,0.0319190867198
