dataset,method,rows,active_share,mean_mse_gain,harm_share,active_harm_share,mean_G_xi,positive_G_xi_share,active_positive_G_xi_share,mean_rho2,mean_bias0_sq,mean_biasg_sq,mean_bias_sq_change,positive_bias_sq_change_share,active_positive_bias_sq_change_share,mean_variance_reduction,positive_variance_reduction_share,active_positive_variance_reduction_share,variance_violations,bias_violations,variance_certified,variance_certified_share,abs_term_tighter_share,path_term_tighter_share,min_variance_slack,p05_variance_slack,median_variance_slack,min_bias_slack,p05_bias_slack,median_bias_slack
IHDP,cui_selective_ml,384,0.046875,-52.21764501674733,0.020833333333333332,0.4444444444444444,-0.0002494484324993204,0.020833333333333332,0.4444444444444444,0.8175323641103353,0.003753866750905716,0.0037123727987047436,4.1493952200971857e-05,0.033854166666666664,0.7222222222222222,-8.181773918706936e-08,0.020833333333333332,0.4444444444444444,0,0,0,0.0,0.0390625,0.9609375,0.0,0.0,0.0,0.0,0.0,0.0
IHDP,ma_dr_bc,384,0.15104166666666666,-10.852576385640544,0.057291666666666664,0.3793103448275862,0.006623808306017204,0.08072916666666667,0.5344827586206896,1.5314785090802612,0.0007942943642652518,0.0007410635505295321,5.3230813735719815e-05,0.09114583333333333,0.603448275862069,1.4871934349312706e-06,0.078125,0.5172413793103449,0,0,0,0.0,0.0625,0.9375,0.0,0.0,0.0,0.0,0.0,0.0
Kang-Schafer,aipw,768,0.6432291666666666,-45.485793572201395,0.23697916666666666,0.3684210526315789,764.0845895051933,0.61328125,0.9534412955465587,3.623328862435257,29.169923232320894,21.325591865622012,7.8443313666988805,0.4661458333333333,0.7246963562753036,3.099690897442164,0.6236979166666666,0.9696356275303644,0,0,0,0.0,0.4205729166666667,0.5794270833333334,0.0,0.0,343958.3664557705,0.0,0.0,4431.742773505778
Kang-Schafer,ctmle,768,0.7942708333333334,-60.752858738605084,0.25390625,0.319672131147541,13.76219389504836,0.7890625,0.9934426229508196,3.9002486549026956,3.2557360266447994,2.5156296163667666,0.7401064102780329,0.7239583333333334,0.9114754098360656,-0.08062435812544073,0.05859375,0.07377049180327869,0,0,0,0.0,0.4596354166666667,0.5403645833333334,0.0,0.0,573966.4271461684,0.0,0.0,100.48967989699749
Kang-Schafer,cui_selective_ml,768,0.4830729166666667,-1253.4366922274428,0.18880208333333334,0.3908355795148248,150146948.26207277,0.4375,0.9056603773584906,0.09408100371312184,85333.29893615178,69742.06198025368,15591.236955898114,0.3984375,0.8247978436657682,755583.1974246562,0.4440104166666667,0.9191374663072777,0,0,0,0.0,0.44140625,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0
Kang-Schafer,ma_dr_bc,768,0.6432291666666666,-18.559441876434384,0.23307291666666666,0.354251012145749,764.0845895051933,0.61328125,0.9534412955465587,3.623328862435257,29.169923232320894,21.325591865622012,7.8443313666988805,0.4661458333333333,0.7246963562753036,3.099690897442164,0.6236979166666666,0.9696356275303644,0,0,0,0.0,0.4205729166666667,0.5794270833333334,0.0,0.0,343958.3664557705,0.0,0.0,4431.742773505778
Twins,aipw,384,0.0234375,-0.0035051767329412824,0.010416666666666666,0.4444444444444444,-0.011524995445000366,0.0,0.0,1.2962501159335196,0.0004921136075477064,0.0004884628033548102,3.6508041928961107e-06,0.013020833333333334,0.5555555555555556,-3.6618812407280995e-06,0.0026041666666666665,0.1111111111111111,0,0,0,0.0,0.0026041666666666665,0.9973958333333334,0.0,0.0,0.0,0.0,0.0,0.0
Twins,ctmle,384,0.0,0.0,0.0,nan,0.0,0.0,nan,2.9396943017750234,0.0029196406467890176,0.0029196406467890176,0.0,0.0,nan,0.0,0.0,nan,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Twins,cui_selective_ml,384,0.5677083333333334,-5.225404316290116,0.22395833333333334,0.3944954128440367,-49794.73213254794,0.5208333333333334,0.9174311926605505,58.53674005891438,0.9921865732597719,1.8659312212266068,-0.8737446479668352,0.3723958333333333,0.6559633027522935,-16.59790847146655,0.5104166666666666,0.8990825688073395,0,0,0,0.0,0.234375,0.765625,0.0,0.0,0.05475934358227002,0.0,0.0,0.12240231853346029
Twins,ma_dr_bc,384,0.0234375,-0.2550930888571648,0.0078125,0.3333333333333333,-0.011524995445000366,0.0,0.0,1.2962501159335196,0.0004921136075477064,0.0004884628033548102,3.6508041928961107e-06,0.013020833333333334,0.5555555555555556,-3.6618812407280995e-06,0.0026041666666666665,0.1111111111111111,0,0,0,0.0,0.0026041666666666665,0.9973958333333334,0.0,0.0,0.0,0.0,0.0,0.0
