group,design,method,n,strength,reps,reference_mse,proposal_mse,repaired_mse,proposal_gain,repaired_gain,repaired_gain_ci_low,repaired_gain_ci_high,path_activation,final_activation,conditional_gain_when_active,conditional_harm_when_active,unconditional_harm,mean_shrink_weight
anchor,regional_shift,aipw,3000,5,96,0.0160093899268,0.0154786434729,0.0156761278293,0.0331521973289,0.0208166644083,0,0.0564342902912,0.03125,0.03125,0.317738166831,0,0,0.0132638887763
anchor,regional_shift,aipw,3000,8,96,0.0277308814721,0.0277193751836,0.0277308814721,0.000414926892792,0,0,0,0.0520833333333,0,,,0,0
anchor,regional_shift,ctmle,3000,0,96,0.0012531197141,0.0012531197141,0.0012531197141,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,3,96,0.0141424753847,0.0141424753847,0.0141424753847,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,5,96,0.0347604683142,0.0347604683142,0.0347604683142,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ctmle,3000,8,96,0.0825343124743,0.0825343124743,0.0825343124743,0,0,0,0,0,0,,,0,0
anchor,regional_shift,cui_selective_ml,3000,0,96,0.00117699743987,0.0011741365091,0.00117508991795,0.00243070262361,0.00162066785901,0,0.00581081715533,0.0208333333333,0.0104166666667,0.22586513193,0,0,0.00565600310358
anchor,regional_shift,cui_selective_ml,3000,3,96,0.00983468623088,0.00995882421513,0.00978882500972,-0.0126224651533,0.00466321142246,0,0.0118292651097,0.25,0.03125,0.118812288464,0,0,0.017499405986
anchor,regional_shift,cui_selective_ml,3000,5,96,0.0238067151269,0.0226849291993,0.0236109233756,0.0471205675234,0.00822422372261,0.00159752249251,0.0188681845564,0.427083333333,0.0729166666667,0.132733731166,0,0,0.0265979630251
anchor,regional_shift,cui_selective_ml,3000,8,96,0.0606016617225,0.0573174617137,0.0597504924569,0.0541932335749,0.014045312313,0.00411397860977,0.0261793614668,0.375,0.0833333333333,0.125604409187,0,0,0.0370002579467
anchor,regional_shift,ma_dr_bc,3000,0,96,0.0050685768456,0.0050685768456,0.0050685768456,0,0,0,0,0,0,,,0,0
anchor,regional_shift,ma_dr_bc,3000,3,96,0.0242450778637,0.0242948208392,0.0242450778637,-0.00205167316098,0,0,0,0.0104166666667,0,,,0,0
anchor,regional_shift,ma_dr_bc,3000,5,96,0.0593807189565,0.0593868361354,0.0593807189565,-0.000103016248867,0,0,0,0.0104166666667,0,,,0,0
anchor,regional_shift,ma_dr_bc,3000,8,96,0.13902555273,0.13902555273,0.13902555273,0,0,0,0,0,0,,,0,0
