dataset,design,setting,n,epsilon,strength,rep,seed,bin_by,bin,bins,units,responders,response_rate,mean_true_pi,mean_pi_hat,p_label_rmse,p_label_skill,p_true_rmse,p_true_nrmse,p_calibration_error,m_observed_rmse,m_observed_skill,m_true_rmse,m_true_nrmse,m_observed_label_fraction
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,pi_hat,3,5,600,443,0.7383333333333333,0.7703651808650975,0.8748993522922198,0.46172779213090226,-0.10349699428315873,0.15754939642388605,0.5719507930038638,0.13656601895888645,1.2253812074761234,0.21625913804638508,0.7131332194109422,0.7215572303800389,0.7383333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,pi_hat,4,5,600,452,0.7533333333333333,0.7889206276470181,0.952591737707456,0.47497069986480867,-0.2140483685545298,0.1891301666321522,0.6865983065728345,0.19925840437412262,1.2813224251442559,0.16617161674987413,0.7998154033892456,0.8092633628279727,0.7533333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,pi_hat,5,5,600,478,0.7966666666666666,0.815259293202805,0.9841687100132307,0.44429117599725915,-0.21856906620567118,0.17898102153310042,0.6497539154201314,0.18750204334656398,1.213381872469548,0.16373635912009676,0.7986722309658949,0.8081066864802896,0.7966666666666666
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,true_pi,1,5,600,107,0.17833333333333334,0.184524234534472,0.22932310936203673,0.4238477148812216,-0.2260028956344331,0.2416318470348656,0.8771948967341583,0.050989776028703394,1.3556751283176787,0.2510294739961585,0.7457560949678186,0.7545654693641886,0.17833333333333334
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,true_pi,2,5,600,432,0.72,0.7184214122057906,0.7559848526671218,0.5239758943616358,-0.3618588188099017,0.268788686452686,0.9757822362801072,0.035984852667121835,1.2525505691730061,0.19985118600748808,0.749510777030504,0.7583645042658955,0.72
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,true_pi,3,5,600,442,0.7366666666666667,0.7700502325904326,0.7720472073865433,0.5283195380855521,-0.438853204024503,0.2750037174489697,0.9983446325034743,0.03538054071987669,1.1635363710665108,0.18969964892763358,0.689988845582297,0.6981394595847422,0.7366666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,true_pi,4,5,600,476,0.7933333333333333,0.8190864194959384,0.8303349574112023,0.4736392300816571,-0.368261779920781,0.2424065811974214,0.8800074103248089,0.03700162407786896,1.197325671536632,0.1547403746416467,0.7171181112463206,0.725589194447671,0.7933333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,6,332727335,true_pi,5,5,600,514,0.8566666666666667,0.8722190238144834,0.8709814115489523,0.40176090900356154,-0.31454750885016036,0.2058271598877336,0.7472133184362636,0.014314744882285594,1.30752747675731,0.10386189481375196,0.796183990059286,0.8055890527924717,0.8566666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,pi_hat,1,5,600,171,0.285,0.27240163854752486,0.08310821460045796,0.47560645586258604,-0.11005521216130543,0.361011952858429,1.335411324542124,-0.20189178539954203,1.0423350291627704,0.37165030021080436,0.679938846839415,0.6732889529615036,0.285
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,pi_hat,2,5,600,443,0.7383333333333333,0.7361514337290843,0.6737561160326004,0.46375750129823345,-0.11322004289998944,0.20387810995569883,0.7541610041035175,-0.06457721730073293,1.209693149212971,0.3151204414435548,0.7157445280135979,0.7087444497313957,0.7383333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,pi_hat,3,5,600,452,0.7533333333333333,0.7750219398736374,0.9100127948323885,0.45922381554898123,-0.13488317083609358,0.16085518480885,0.5950158539190847,0.15667946149905523,1.1215289879727899,0.16398483680300635,0.6479561353838527,0.6416190367493605,0.7533333333333333
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,pi_hat,4,5,600,480,0.8,0.7947330903284039,0.9661038922270139,0.43344845196927906,-0.1742347532160271,0.18631760266879446,0.6892033202651857,0.1661038922270139,1.299987848833517,0.18041846705648246,0.8170924264587947,0.8091011520233756,0.8
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,pi_hat,5,5,600,498,0.83,0.8117888044157467,0.9886219688256581,0.40814409462211587,-0.18059250159395224,0.18925474222636982,0.7000680281949115,0.15862196882565816,1.3783720578031216,0.032391927392063535,0.7984680029655384,0.7906588779106749,0.83
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,true_pi,1,5,600,129,0.215,0.2080510831076859,0.26231024118557494,0.38421352351408244,0.1253442058888674,0.2287612161134538,0.8462055513539535,0.04731024118557495,1.2964541214403107,0.26375146506457003,0.7327497588144438,0.7255833670751995,0.215
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,true_pi,2,5,600,430,0.7166666666666667,0.7195604387974728,0.7834970353047053,0.5305735478687607,-0.38636093421745366,0.2640553248144772,0.9767612076855051,0.06683036863803864,1.2888964029211059,0.18018098027629537,0.7195391069505632,0.7125019171731737,0.7166666666666667
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,true_pi,3,5,600,466,0.7766666666666666,0.7701343956120253,0.823245529908066,0.48505941494396937,-0.35644335675618044,0.2421546194338499,0.8957487931402744,0.04657886324139933,1.2157845980428652,0.2154173604724564,0.7427191936977307,0.7354552995370485,0.7766666666666666
ACIC 2016,acic2016_semisynth,low-response outcome shift; strength=0,3000,0.05,0.0,7,332727372,true_pi,4,5,600,495,0.825,0.8207462334235923,0.8624446287813285,0.43349645486911925,-0.30160468491147574,0.22160236754575816,0.8197244130639649,0.0374446287813286,1.2041434713378423,0.10988339686869475,0.6927246016244668,0.6859496613355953,0.825
