dataset,design,setting,n,strength,method,role,bin,rep_bins,mean_mean_true_pi,sd_mean_true_pi,mean_response_rate,sd_response_rate,mean_outcome_rmse,sd_outcome_rmse,mean_outcome_nrmse,sd_outcome_nrmse,mean_mean_selected_p,sd_mean_selected_p,mean_floor_fraction,sd_floor_fraction,mean_selected_tau,sd_selected_tau
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,3,16,0.7680675674105069,0.0025979786139089015,0.7751041666666667,0.014318654668919772,0.7184614870601657,0.04820554489297012,0.7198223240943801,0.04423957475669992,0.8388557696280379,0.010852290291336652,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,4,16,0.8183960725631491,0.0025330408417797894,0.8158333333333334,0.014778456542473502,0.744031189651291,0.03206499638833912,0.7459593308593809,0.0385325495693683,0.8717876188581188,0.012834911944619786,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,aipw,primary,5,16,0.8715534915930576,0.0011284442032424187,0.869375,0.014998553170963602,0.7473760594120527,0.038520634483950794,0.7491562766973499,0.04140379081133605,0.9015638169273734,0.010202019133913533,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,ctmle,primary,1,16,0.20018831091159153,0.019410672718081796,0.2004166666666667,0.024062274529968182,0.758774268709471,0.05715160605587608,0.7601910153072626,0.05336164590572517,0.5793992695336541,0.012254588386999025,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,ctmle,primary,2,16,0.7172254721641098,0.002446343141163399,0.7088541666666667,0.016891388646782912,0.7391249201217913,0.027990176604373734,0.7409859204668501,0.03364112313178911,0.8076868671365083,0.010167486457022193,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,ctmle,primary,3,16,0.7680675674105069,0.0025979786139089015,0.7751041666666667,0.014318654668919772,0.7184156465559219,0.04766931247856438,0.7197767213538266,0.043659705918702996,0.8388557696280379,0.010852290291336652,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,ctmle,primary,4,16,0.8183960725631491,0.0025330408417797894,0.8158333333333334,0.014778456542473502,0.7438238267381281,0.03185840516347237,0.7457498646160428,0.03832741209241326,0.8717876188581188,0.012834911944619786,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,ctmle,primary,5,16,0.8715534915930576,0.0011284442032424187,0.869375,0.014998553170963602,0.74694160535748,0.038212042012039815,0.7487176648507883,0.0410468910354573,0.9015638169273734,0.010202019133913533,0.0,0.0,0.5,0.0
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,1,16,0.20018831091159153,0.019410672718081796,0.2004166666666667,0.024062274529968182,0.5341375826013623,0.07970155828489213,0.5345054455762863,0.07362952226270421,0.4076036682590667,0.07627266181102807,0.03635416666666666,0.04185465405390686,nan,nan
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,2,16,0.7172254721641098,0.002446343141163399,0.7088541666666667,0.016891388646782912,0.4687156792635776,0.04852608280434409,0.46969012712019076,0.047967199617316644,0.7099135127351589,0.013149739278857568,0.0,0.0,nan,nan
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,3,16,0.7680675674105069,0.0025979786139089015,0.7751041666666667,0.014318654668919772,0.483778348211432,0.08441791443704484,0.48372601766764595,0.07729611348221097,0.7283548185138868,0.02147580573294105,0.0,0.0,nan,nan
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,4,16,0.8183960725631491,0.0025330408417797894,0.8158333333333334,0.014778456542473502,0.4872104285644014,0.0605649578920024,0.48811319976347245,0.059137956762916326,0.7555752361721435,0.02409542466509235,0.0,0.0,nan,nan
ACIC 2017,acic2017_semisynth,low-response outcome shift; strength=0,3000,0.0,cui_selective_ml,primary,5,16,0.8715534915930576,0.0011284442032424187,0.869375,0.014998553170963602,0.44569089363312003,0.062017832150717746,0.44672635282893414,0.06285900167477114,0.7699483941247403,0.0335097399957751,0.0,0.0,nan,nan
