dataset,bin_by,bin,rep_bins,mean_units,sd_units,mean_responders,sd_responders,mean_response_rate,sd_response_rate,mean_mean_true_pi,sd_mean_true_pi,mean_mean_pi_hat,sd_mean_pi_hat,mean_p_label_rmse,sd_p_label_rmse,mean_p_label_skill,sd_p_label_skill,mean_p_true_rmse,sd_p_true_rmse,mean_p_true_nrmse,sd_p_true_nrmse,mean_p_calibration_error,sd_p_calibration_error,mean_m_observed_rmse,sd_m_observed_rmse,mean_m_observed_skill,sd_m_observed_skill,mean_m_true_rmse,sd_m_true_rmse,mean_m_true_nrmse,sd_m_true_nrmse,mean_m_observed_label_fraction,sd_m_observed_label_fraction
ACIC 2017,pi_hat,1,128,600.0,0.0,174.4296875,14.930926165256587,0.2907161458333334,0.02488487694209431,0.2909349242842476,0.019408955891743827,0.06334710719994102,0.010957385875198981,0.48471485855145,0.017973126077640064,-0.1432502004889831,0.033997940622748433,0.3808758365279128,0.01294769006849642,1.4100654646502218,0.06578710727841602,-0.2273690386333923,0.0189114989963799,1.2206066564713436,0.08023087278172945,0.2824314950578475,0.09601833577435723,0.7920167266409214,0.12442264113969037,0.7581302896433724,0.11022982488682029,0.2907161458333334,0.02488487694209431
ACIC 2017,pi_hat,2,128,600.0,0.0,433.4375,12.971573487823287,0.7223958333333333,0.02161928914637214,0.7184303711391504,0.01078325518664251,0.6363637719165611,0.029920229555117313,0.4646653930716045,0.011434598853721228,-0.08045825113312996,0.03766575925173949,0.22728093366792457,0.016701303683119787,0.840613258323196,0.05612057679206222,-0.0860320614167722,0.02847866254670989,1.2093225290230132,0.05002721104702135,0.271928226353918,0.06580148793095697,0.7109399905973357,0.045749292318490745,0.6815628835743076,0.041755195078958716,0.7223958333333333,0.02161928914637214
ACIC 2017,pi_hat,3,128,600.0,0.0,460.8984375,9.649999873502265,0.7681640625,0.016083333122503773,0.7702082890225477,0.004908630894801292,0.900479223941608,0.012007457763590992,0.44297129446670863,0.013558276483858272,-0.10390144205166771,0.019915373968321014,0.17045460068583107,0.015254297929623718,0.6307228170055197,0.05639033712345235,0.13231516144160801,0.015373383376588529,1.2203107282107337,0.04459329972618266,0.2404709976699757,0.06295120512078284,0.7078207863324342,0.044626950141571815,0.6785981857653314,0.04108665618234878,0.7681640625,0.016083333122503773
ACIC 2017,pi_hat,4,128,600.0,0.0,473.65625,11.172257423524576,0.7894270833333333,0.018620429039207628,0.788591814702222,0.003993816064727748,0.9615125770036441,0.0047095828310377095,0.44199747533521455,0.018459139824548536,-0.17838629159191355,0.022255071473772828,0.19070923358586442,0.007910243509418796,0.7057413149078926,0.030830180358120716,0.17208549367031084,0.016064819335392114,1.2761260355745137,0.056169581192855346,0.18004536761638434,0.06867696248630267,0.7913608368787387,0.03606513620907453,0.759173443006602,0.04201253880741338,0.7894270833333333,0.018620429039207628
ACIC 2017,pi_hat,5,128,600.0,0.0,487.4140625,11.475195629970486,0.8123567708333334,0.019125326049950805,0.8144223990416279,0.00539875125660869,0.9872579863139738,0.0018845987376848187,0.42714555156686085,0.02124373940292942,-0.20077494475518973,0.026142172250260137,0.18523830717720613,0.006539715487328816,0.6855196949016404,0.02655523397533144,0.17490121548064053,0.01805404806571037,1.291950359489929,0.04916272452559468,0.21690305163306806,0.08235367572693278,0.8127304459300682,0.03600611167260342,0.7801072125539262,0.04973240735769587,0.8123567708333334,0.019125326049950805
ACIC 2017,true_pi,1,128,600.0,0.0,123.65625,14.658315419498244,0.20609375,0.024430525699163742,0.20635466322592205,0.020337605622287567,0.25334551552224605,0.02754062794428046,0.3807278265138748,0.02035031904076784,0.10518471658055673,0.09246731162701569,0.23747692512524116,0.01658262024819606,0.8791840227744775,0.06752083923103394,0.04725176552224601,0.0123252346092664,1.2809779403619244,0.0991127897363153,0.3225858381639829,0.11670364758202058,0.8377069022756221,0.13544568746429148,0.8021064309596759,0.12189998506612124,0.20609375,0.024430525699163742
ACIC 2017,true_pi,2,128,600.0,0.0,429.921875,10.636471289124744,0.7165364583333333,0.017727452148541243,0.7175178547647412,0.0020792105162281936,0.761522639454576,0.018344320075245286,0.531430688894439,0.016020296466209134,-0.3938186673474285,0.06337674682522398,0.28216234948533175,0.00878015738368022,1.0441436071546897,0.034541000690421035,0.04498618112124253,0.013581125094038197,1.2434264479987553,0.060535821002408646,0.23399476450673135,0.0758226258677005,0.7381770925399358,0.03791178575310131,0.7080341046688586,0.040438145975150004,0.7165364583333333,0.017727452148541243
ACIC 2017,true_pi,3,128,600.0,0.0,461.4140625,10.107645113778666,0.7690234375,0.016846075189631115,0.7681531260290757,0.002286919543285971,0.804329090429807,0.016607220639852364,0.4923332405763764,0.017134384564846856,-0.368620702965464,0.06763499178791749,0.253575385050391,0.010750158761535903,0.9384802233431898,0.043904109270585856,0.03530565292980706,0.012317729714499275,1.2385915008313817,0.0539320748408408,0.2069616075094683,0.08707168371169324,0.7430316457159846,0.04575710077780006,0.7126976221983446,0.04759773978703024,0.7690234375,0.016846075189631115
ACIC 2017,true_pi,4,128,600.0,0.0,491.8828125,9.640913057892584,0.8198046874999999,0.016068188429820975,0.8185532530896482,0.0021308063687867306,0.8448092047182884,0.014783776992679392,0.4469080157709464,0.019088040020648334,-0.3569081647906098,0.06827239866170486,0.23108786229414643,0.010505742263970897,0.8551414667513082,0.0401043389070771,0.02500451721828843,0.011601711939112075,1.2454888984464683,0.05206253740112027,0.1507417456798048,0.07318458882132903,0.7377289183935267,0.041350815391722764,0.7075862881959718,0.04314544766798647,0.8198046874999999,0.016068188429820975
ACIC 2017,true_pi,5,128,600.0,0.0,522.9609375,8.26740809571499,0.8716015625,0.013779013492858318,0.8720089010804084,0.001183094037443249,0.8849542162508108,0.014004708287143978,0.39378865323868123,0.02101065727892213,-0.3921196531667427,0.07567844291432053,0.2067585178636706,0.014338594648959637,0.7652011870589236,0.05490172555404022,0.013352653750810836,0.00907894441882115,1.2566705468489228,0.05232054336388393,0.18657087376602643,0.06909793572875017,0.758178681389253,0.03552833563295029,0.7273031002569561,0.04027613889916673,0.8716015625,0.013779013492858318
