gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,dataset,method,reps,ref_mse,current_mse,gated_mse,current_gain,gated_gain,gated_gain_ci_low,gated_gain_ci_high,gated_minus_current_gain,current_activation,gated_activation,gamma_change_rate,current_gate_pass_rate,current_harm_rate,gated_harm_rate,mean_current_max_ratio,mean_current_ess_share,mean_allowed_count,significance_class
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,aipw,384,0.0038845977052279616,0.003737435525433159,0.0038845977052279616,0.0378835058252619,0.0,nan,nan,-0.0378835058252619,0.15104166666666666,0.0,0.15104166666666666,0.0078125,0.046875,0.0,17.285684141002577,0.023213380203173043,1.0234375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,ctmle,384,0.0038118062235042573,0.0038118062235042573,0.0038118062235042573,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,5.299049728061848,0.2441133970230878,1.03125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,cui_selective_ml,384,0.004500250778252562,0.0044759395559262,0.0044759395559262,0.005402192794198513,0.005402192794198513,nan,nan,0.0,0.046875,0.046875,0.0,1.0,0.020833333333333332,0.020833333333333332,11.321537429332016,0.14387645699575843,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,ma_dr_bc,384,0.013224335525527556,0.012781861376177532,0.013224335525527556,0.03345908370941553,0.0,nan,nan,-0.03345908370941553,0.15104166666666666,0.0,0.15104166666666666,0.0,0.057291666666666664,0.0,16.800446031749043,0.023213380203173043,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,tmle,384,0.002728142693305145,0.002642150464355123,0.002726492178379171,0.031520429323966925,0.0006049958200589067,nan,nan,-0.03091543350390802,0.13802083333333334,0.018229166666666668,0.11979166666666667,0.11979166666666667,0.046875,0.010416666666666666,17.13594056118575,0.023213380203173043,1.359375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,Kang-Schafer,aipw,768,39.41190360268754,29.34983332444519,39.421042447600506,0.2553053610319955,-0.0002318803223790855,nan,nan,-0.2555372413543746,0.6432291666666666,0.0026041666666666665,0.640625,0.0026041666666666665,0.23697916666666666,0.0026041666666666665,9.122047126067793,0.07852925356309387,1.0078125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,Kang-Schafer,ctmle,768,8.160419211359553,7.373208045760393,8.130106624512235,0.09646700067851155,0.0037145869669442666,nan,nan,-0.09275241371156728,0.7942708333333334,0.07161458333333333,0.72265625,0.09114583333333333,0.25390625,0.022135416666666668,3.6986592951035626,0.2598806904778527,1.2734375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,Kang-Schafer,cui_selective_ml,768,6.433616892014606,5.334175499619669,5.334175499619669,0.17089009352726015,0.17089009352726015,nan,nan,0.0,0.4830729166666667,0.4830729166666667,0.0,1.0,0.18880208333333334,0.18880208333333334,5.095522453389308,0.09991421071261498,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,Kang-Schafer,ma_dr_bc,768,31.454083030420282,27.376840266459222,31.454083030420282,0.12962523053105135,0.0,nan,nan,-0.12962523053105135,0.6432291666666666,0.0,0.6432291666666666,0.0,0.23307291666666666,0.0,8.237262685589878,0.07852925356309387,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,Kang-Schafer,tmle,768,6.70700976653455,8.141866885435547,7.898076507819046,-0.21393395400441984,-0.17758535960801347,nan,nan,0.036348594396406364,0.5989583333333334,0.2591145833333333,0.33984375,0.4869791666666667,0.33203125,0.14192708333333334,9.041010171956886,0.07852925356309387,2.4609375,crosses_zero
