source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,floor_share,observed_floor_share,residual_weight_ess_share,ipw_weight_ess_share,max_residual_weight_share,max_ipw_weight_share,score_tail_ratio,floor_sensitivity_se
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036300000,2,0.05,0.117,0.01903292181069959,0.033960004052962914,0.18219557663666935,0.013874649469581791,0.00481691309032509,15.57064592407012,0.14784142801934036
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036300000,3,0.05,0.09766666666666667,0.01775147928994083,0.033267338131041824,0.19395654651623823,0.014173543730416745,0.004704390939099401,22.716783070786207,0.35334490489419884
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036300000,4,0.05,0.12966666666666668,0.015888778550148957,0.03281146883285588,0.187962276657135,0.014754685461031225,0.00487422414783403,16.066295830346675,0.2714961472715413
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036400000,1,0.05,0.11233333333333333,0.015786877158362113,0.030438693383921456,0.18510585148786948,0.015001836640602565,0.004952416921761513,13.966409895754955,0.2577926956736416
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036400000,2,0.05,0.118,0.01691542288557214,0.03497412655173318,0.18358816452078155,0.01327474094741551,0.004699721317610384,15.230584891418419,0.15049185133522136
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036400000,3,0.05,0.113,0.017034068136272545,0.03760740192009955,0.1823514651036392,0.012751202904117256,0.004629139331305907,22.88936214114813,0.3702516341746124
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036400000,4,0.05,0.12333333333333334,0.021575514300050176,0.03551764139353076,0.1762523426634001,0.012236837252610192,0.004624125887633617,13.471531053713777,0.11732435175906716
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036500000,1,0.05,0.11033333333333334,0.015701668302257114,0.028814928725019787,0.19540486939953097,0.016519861238891115,0.005029033809628189,16.19153607150955,0.31199737222146573
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036500000,2,0.05,0.08833333333333333,0.019052271617000488,0.036248612128660485,0.1889851300394965,0.01303239791790881,0.0045879731467676765,13.369388905129178,0.14622539448866456
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036500000,3,0.05,0.126,0.019743336623889437,0.02994926696743097,0.18160333354750086,0.014589365179520059,0.0049391912657496635,15.904922491084681,0.23120716316721643
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036500000,4,0.05,0.11933333333333333,0.01811062163485071,0.03786609227822295,0.18678989302620339,0.012322385939046526,0.004497785624984734,16.157664204817678,0.18422634490538006
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036600000,1,0.05,0.10333333333333333,0.01566324033284386,0.03180307273179123,0.19079442528949592,0.014935027254634813,0.004862491419712888,13.42034070738295,0.13078174634267337
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036600000,2,0.05,0.108,0.013170731707317073,0.029749476387399956,0.2014353802532034,0.016978429558296777,0.0050097637493498335,16.300498232955356,0.22226962284217913
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036600000,3,0.05,0.11733333333333333,0.014955134596211365,0.03166860032776716,0.19871806997775468,0.015567153723719125,0.004849121267332942,13.936855475891967,0.5115039879025794
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036600000,4,0.05,0.12166666666666667,0.01902854281422133,0.03175268333867425,0.18312282068884714,0.01419923457426056,0.004855717696705192,15.137857379258437,0.39031379206671735
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036700000,1,0.05,0.119,0.018924302788844622,0.03770089520518718,0.18636956782525735,0.012611631108425529,0.004552171885042882,13.838182252526162,0.3152092581339909
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036700000,2,0.05,0.09566666666666666,0.01625615763546798,0.031187960732166852,0.19509661645409085,0.015431464269582572,0.004877664740141296,13.007022773661552,0.2861706030677358
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036700000,3,0.05,0.09833333333333333,0.0116335433834222,0.031747604034284595,0.20073808676357272,0.01640057398815557,0.004939943535252688,17.374197505461463,0.13313900191737743
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036700000,4,0.05,0.107,0.014962593516209476,0.027661028371331692,0.18955733347102996,0.016822021228783887,0.005155003506583527,15.909253923353639,0.6040424014610554
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036800000,1,0.05,0.10133333333333333,0.016496846191169336,0.03656510674480308,0.18532998599330014,0.01281778865559568,0.004600415903640798,19.920639957853155,0.11621699940430469
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036800000,2,0.05,0.11333333333333333,0.02001000500250125,0.038563582663901114,0.1784739298558217,0.01163389272878591,0.0044861092788961434,14.431807824842128,0.3770538584062362
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036800000,3,0.05,0.10166666666666667,0.009675858732462506,0.025501082532486095,0.2076956556350586,0.019872507308647855,0.005294747903662305,12.089165475924151,0.3709661832793689
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=0",real_benchmark,acic2016_misaligned,tmle,3000,0.0,2036800000,4,0.05,0.12933333333333333,0.018886679920477135,0.033750708604224695,0.17737408717180378,0.0133928425975978,0.00480678329963504,14.611553718522567,0.4682912712931821
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2036900000,1,0.05,0.10566666666666667,0.015022533800701052,0.03129926821443012,0.19626621006338463,0.0158229195330448,0.004918491699445126,13.82854395930379,0.974045970258884
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2036900000,2,0.05,0.09933333333333333,0.017140058765915768,0.035870087378737356,0.18974425264673705,0.01319478947900086,0.004604588744624672,13.484942135658223,1.6771530397400802
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2036900000,3,0.05,0.098,0.01841712294673967,0.03978318087805949,0.18422805221064995,0.01186917861331964,0.004452458443385108,15.053125752582382,2.5228618390244977
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2036900000,4,0.05,0.10633333333333334,0.018209408194233688,0.03815806012855225,0.18374869139030814,0.012324958732872619,0.004537789578686445,14.852522094266352,1.7092826745834593
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037000000,1,0.05,0.11633333333333333,0.01296111665004985,0.029008875116808074,0.19857295667265465,0.0173296558673563,0.005096376713254339,13.678907679450408,1.817376096939443
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 B, strength=3",real_benchmark,acic2016_misaligned,aipw,3000,3.0,2037000000,2,0.05,0.11033333333333334,0.015248401377274963,0.03032166795066172,0.1830422708424024,0.014733259835337076,0.004940771103954039,19.41459087438651,4.751114096300363
