gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,aipw_current_gain,aipw_gated_gain,aipw_retention,selective_current_gain,selective_gated_gain,selective_retention,ctmle_gated_gain,ma_current_gain,ma_gated_gain,ma_retention,tmle_current_gain,tmle_gated_gain,tmle_gated_ci_low,tmle_gated_ci_high,tmle_recovery,tmle_activation,aipw_activation,selective_activation,ma_activation,passes_basic_goal,objective_score
veto_stable_floor_sens_le_1_floor_share_ge_0.15_resid_ess_le_0.1,inf,0.0,1.0,1.0,inf,1.0,0.15,0.1,-inf,0.25524966894297985,0.26023847703448744,1.0195448170889578,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.12791548421756394,0.9877199764878988,-0.213720844973863,-0.0509741325321853,-0.11153839588227135,-0.0006074906070995167,0.1627467124416777,0.1293402777777778,0.2569444444444444,0.3524305555555556,0.2703993055555556,False,3.6024964170257556
veto_stable_floor_sens_le_1.25_floor_share_ge_0.15_resid_ess_le_0.1,inf,0.0,1.0,1.0,inf,1.25,0.15,0.1,-inf,0.25524966894297985,0.25788147496257474,1.0103107127640696,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.1288136007457601,0.9946549276514695,-0.213720844973863,-0.050974234693897946,-0.11129577616322149,0.0013208255950148313,0.16274661027996506,0.1284722222222222,0.2495659722222222,0.3524305555555556,0.2677951388888889,False,3.600194811983335
veto_stable_floor_sens_le_0.25_floor_share_ge_0.05_resid_ess_le_0.1,inf,0.0,1.0,1.0,inf,0.25,0.05,0.1,-inf,0.25524966894297985,0.25548149518344176,1.0009082332659702,0.17073237183769185,0.17056064624288825,0.9989941825738422,0.09637274243258942,0.1295058187163547,0.1295058187163547,1.0,-0.213720844973863,-0.0831660333551727,-0.1558316384315502,-0.024870749734574787,0.13055481161869031,0.1657986111111111,0.2730034722222222,0.34765625,0.2738715277777778,False,2.822528419537014
veto_stable_floor_sens_le_0.25_floor_share_ge_0.1_resid_ess_le_0.1,inf,0.0,1.0,1.0,inf,0.25,0.1,0.1,-inf,0.25524966894297985,0.25548149518344176,1.0009082332659702,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.1295058187163547,1.0,-0.213720844973863,-0.08447151410638831,-0.15674225858684812,-0.02542237043528427,0.1292493308674747,0.16796875,0.2730034722222222,0.3524305555555556,0.2738715277777778,False,2.7922026989339965
veto_stable_floor_sens_le_0.25_floor_share_ge_0.15_resid_ess_le_0.1,inf,0.0,1.0,1.0,inf,0.25,0.15,0.1,-inf,0.25524966894297985,0.25548149518344176,1.0009082332659702,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.1295058187163547,1.0,-0.213720844973863,-0.08834338078465143,-0.16245662325966428,-0.027141048337394925,0.12537746418921158,0.20052083333333334,0.2730034722222222,0.3524305555555556,0.2738715277777778,False,2.699277898655682
veto_stable_floor_sens_le_1_floor_share_ge_0.1_score_tail_ge_8,inf,0.0,1.0,1.0,inf,1.0,0.1,inf,8.0,0.25524966894297985,0.2592458724284189,1.0156560574671372,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.12843493222595526,0.9917309777968749,-0.213720844973863,-0.09356744488432178,-0.17997533517635722,-0.01925029144936811,0.12015340008954123,0.06901041666666667,0.24739583333333334,0.3524305555555556,0.2686631944444444,False,2.580379162261636
veto_stable_floor_sens_le_1_floor_share_ge_0.05_score_tail_ge_8,inf,0.0,1.0,1.0,inf,1.0,0.05,inf,8.0,0.25524966894297985,0.25924578663767417,1.0156557213619228,0.17073237183769185,0.17075158647142474,1.0001125424166846,0.09637274243258942,0.1295058187163547,0.12843493222595526,0.9917309777968749,-0.213720844973863,-0.0937836378578285,-0.1804832847666753,-0.01826212920924066,0.1199372071160345,0.06076388888888889,0.2456597222222222,0.3489583333333333,0.2686631944444444,False,2.5753027372089443
veto_stable_floor_sens_le_0.75_floor_share_ge_0.1_score_tail_ge_8,inf,0.0,1.0,1.0,inf,0.75,0.1,inf,8.0,0.25524966894297985,0.25917307575379045,1.0153708595472735,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.12925027066395123,0.9980267446286474,-0.213720844973863,-0.09445657824707587,-0.18030827463494611,-0.016303386192530328,0.11926426672678714,0.07552083333333333,0.2578125,0.3524305555555556,0.2721354166666667,False,2.5650505304674462
veto_stable_floor_sens_le_0.75_floor_share_ge_0.05_score_tail_ge_8,inf,0.0,1.0,1.0,inf,0.75,0.05,inf,8.0,0.25524966894297985,0.25917303339649833,1.015370693602721,0.17073237183769185,0.17075158647142474,1.0001125424166846,0.09637274243258942,0.1295058187163547,0.12925027066395123,0.9980267446286474,-0.213720844973863,-0.09467194666330125,-0.18152640906460987,-0.0160415471521415,0.11904889831056176,0.06901041666666667,0.2569444444444444,0.3489583333333333,0.2721354166666667,False,2.5599940649501693
veto_stable_floor_sens_le_1.25_floor_share_ge_0.1_score_tail_ge_8,inf,0.0,1.0,1.0,inf,1.25,0.1,inf,8.0,0.25524966894297985,0.25625225713529876,1.0039278726451273,0.17073237183769185,0.17073237183769185,1.0,0.09637274243258942,0.1295058187163547,0.12704572263380298,0.9810039725864377,-0.213720844973863,-0.09356852353993506,-0.17941543114633973,-0.016100292373020745,0.12015232143392796,0.06684027777777778,0.2387152777777778,0.3524305555555556,0.2634548611111111,False,2.55789808449447
