gate_id,floor_sens_max,residual_ess_min,floor_share_max,max_weight_share_max,score_tail_max,veto_floor_sens_max,veto_floor_share_min,veto_residual_ess_max,veto_score_tail_min,dataset,setting,design,method,n,strength,reps,ref_mse,current_mse,gated_mse,current_gain,gated_gain,gated_gain_ci_low,gated_gain_ci_high,gated_minus_current_gain,current_activation,gated_activation,gamma_change_rate,current_gate_pass_rate,current_harm_rate,gated_harm_rate,mean_current_max_ratio,mean_current_ess_share,mean_allowed_count,significance_class
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ctmle,3000,0.0,96,0.001049465555739584,0.001049465555739584,0.001049465555739584,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,6.007766883590057,0.18687086851036902,1.0625,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,cui_selective_ml,3000,0.0,96,0.0009343042609014662,0.0009195466079066623,0.0009195466079066623,0.015795339497397642,0.015795339497397642,nan,nan,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,0.052083333333333336,0.052083333333333336,10.94483543839088,0.16058454892204663,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,ma_dr_bc,3000,0.0,96,0.013928517166100947,0.013663070479197579,0.013928517166100947,0.019057785099293234,0.0,nan,nan,-0.019057785099293234,0.0625,0.0,0.0625,0.0,0.03125,0.0,15.736096951218265,0.03384811454423187,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=0",acic2017_semisynth,tmle,3000,0.0,96,0.0016636192462543312,0.001593686302970366,0.0016582127789497554,0.042036627937204085,0.0032498225280505055,nan,nan,-0.03878680540915358,0.07291666666666667,0.010416666666666666,0.0625,0.3125,0.020833333333333332,0.0,15.547484216336969,0.03384811454423187,1.9375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,aipw,3000,3.0,96,0.005073495747493794,0.0049684367378346,0.005073495747493794,0.020707420462723558,0.0,nan,nan,-0.020707420462723558,0.11458333333333333,0.0,0.11458333333333333,0.0,0.052083333333333336,0.0,15.930068173583654,0.03373628702871724,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ctmle,3000,3.0,96,0.01270774975276461,0.01270774975276461,0.01270774975276461,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.174675819352075,0.1868541747288314,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,cui_selective_ml,3000,3.0,96,0.011846873433469641,0.011622247902072677,0.011622247902072677,0.018960743748840492,0.018960743748840492,nan,nan,0.0,0.2916666666666667,0.2916666666666667,0.0,1.0,0.07291666666666667,0.07291666666666667,15.84844492977106,0.1129745518570245,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,ma_dr_bc,3000,3.0,96,0.025150349693341956,0.024851782392892558,0.025150349693341956,0.011871298176360456,0.0,nan,nan,-0.011871298176360456,0.11458333333333333,0.0,0.11458333333333333,0.0,0.03125,0.0,15.826352939376555,0.03373628702871724,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 A, strength=3",acic2017_semisynth,tmle,3000,3.0,96,0.007929361986641658,0.007823727807703549,0.007929361986641658,0.013321901448826279,0.0,nan,nan,-0.013321901448826279,0.0625,0.0,0.0625,0.08333333333333333,0.010416666666666666,0.0,15.856291311935637,0.03373628702871724,1.25,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,aipw,3000,0.0,96,0.004611308330142908,0.0046329806232791385,0.004611308330142908,-0.004699814366036614,0.0,nan,nan,0.004699814366036614,0.08333333333333333,0.0,0.08333333333333333,0.0,0.020833333333333332,0.0,15.571055057572885,0.03383384318689733,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ctmle,3000,0.0,96,0.001104223530579829,0.001104223530579829,0.001104223530579829,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,5.953616923206538,0.18577982153373443,1.03125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,cui_selective_ml,3000,0.0,96,0.0010566194219874664,0.0010795449732209485,0.0010795449732209485,-0.02169707536736354,-0.02169707536736354,nan,nan,0.0,0.14583333333333334,0.14583333333333334,0.0,1.0,0.08333333333333333,0.08333333333333333,9.472100703446564,0.175804273316458,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,ma_dr_bc,3000,0.0,96,0.00943291156974319,0.009486112635980752,0.00943291156974319,-0.005639941161773132,0.0,nan,nan,0.005639941161773132,0.08333333333333333,0.0,0.08333333333333333,0.0,0.052083333333333336,0.0,16.16320244560176,0.03383384318689733,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=0",acic2017_misaligned,tmle,3000,0.0,96,0.0015911419719730879,0.0015868144210699831,0.0015911196925601403,0.0027197767259815597,1.4002152755709929e-05,nan,nan,-0.00270577457322585,0.041666666666666664,0.010416666666666666,0.03125,0.3229166666666667,0.0,0.0,15.566643975519478,0.03383384318689733,1.96875,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,aipw,3000,3.0,96,0.005836152067653127,0.005793594367667261,0.005836152067653127,0.007292082093223962,0.0,nan,nan,-0.007292082093223962,0.11458333333333333,0.0,0.11458333333333333,0.0,0.0625,0.0,15.614598139278236,0.033662639405303535,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ctmle,3000,3.0,96,0.0013163998202661723,0.0013163998202661723,0.0013163998202661723,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,5.83625866810059,0.18476568340395783,1.125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,cui_selective_ml,3000,3.0,96,0.0012842365844964337,0.001285631285539559,0.001285631285539559,-0.0010860156609477922,-0.0010860156609477922,nan,nan,0.0,0.4375,0.4375,0.0,1.0,0.22916666666666666,0.22916666666666666,11.035688030478623,0.1552419646359657,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,ma_dr_bc,3000,3.0,96,0.011487271463651035,0.01164778104290682,0.011487271463651035,-0.013972820244013917,0.0,nan,nan,0.013972820244013917,0.11458333333333333,0.0,0.11458333333333333,0.0,0.0625,0.0,15.23529257675902,0.033662639405303535,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,ACIC 2017,"ACIC 2017 B, strength=3",acic2017_misaligned,tmle,3000,3.0,96,0.001991594628863636,0.002007457141388337,0.0019941870087721632,-0.007964729516142688,-0.0013016604237412466,nan,nan,0.006663069092401441,0.09375,0.041666666666666664,0.052083333333333336,0.2916666666666667,0.041666666666666664,0.020833333333333332,15.668035145761815,0.033662639405303535,1.875,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=0",ihdp_semisynth,aipw,3000,0.0,96,0.003665405720013353,0.0036144928393361344,0.003665405720013353,0.013890107826053377,0.0,nan,nan,-0.013890107826053377,0.11458333333333333,0.0,0.11458333333333333,0.010416666666666666,0.041666666666666664,0.0,17.060245923097003,0.02354420661916123,1.03125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=0",ihdp_semisynth,ctmle,3000,0.0,96,0.0007650311342005037,0.0007650311342005037,0.0007650311342005037,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.246379792720638,0.2445074105858341,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=0",ihdp_semisynth,cui_selective_ml,3000,0.0,96,0.0006670987909683153,0.0006713233428591465,0.0006713233428591465,-0.006332723050957778,-0.006332723050957778,nan,nan,0.0,0.010416666666666666,0.010416666666666666,0.0,1.0,0.010416666666666666,0.010416666666666666,10.683209098670128,0.15135946885961712,4.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=0",ihdp_semisynth,ma_dr_bc,3000,0.0,96,0.0074531696000392856,0.007402447016694781,0.0074531696000392856,0.006805505049051419,0.0,nan,nan,-0.006805505049051419,0.11458333333333333,0.0,0.11458333333333333,0.0,0.052083333333333336,0.0,16.821236844087604,0.02354420661916123,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=0",ihdp_semisynth,tmle,3000,0.0,96,0.0014808178740663182,0.0014805182770506323,0.0014837246683265665,0.00020231861117614436,-0.001962965406587358,nan,nan,-0.0021652840177635024,0.08333333333333333,0.020833333333333332,0.0625,0.14583333333333334,0.041666666666666664,0.010416666666666666,17.058107669425663,0.02354420661916123,1.4375,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=3",ihdp_semisynth,aipw,3000,3.0,96,0.004724292332800328,0.004493836316312768,0.004724292332800328,0.04878106608423127,0.0,nan,nan,-0.04878106608423127,0.21875,0.0,0.21875,0.0,0.07291666666666667,0.0,17.99995604108988,0.02300998681047404,1.0,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=3",ihdp_semisynth,ctmle,3000,3.0,96,0.01247112435256111,0.01247112435256111,0.01247112435256111,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,5.423943199431896,0.24372218034072332,1.03125,crosses_zero
floor_sens_le_0.25,0.25,0.0,1.0,1.0,inf,-inf,inf,inf,-inf,IHDP,"IHDP A, strength=3",ihdp_semisynth,cui_selective_ml,3000,3.0,96,0.015786173880885535,0.01568341080077863,0.01568341080077863,0.006509688850655282,0.006509688850655282,nan,nan,0.0,0.0625,0.0625,0.0,1.0,0.0,0.0,13.577471207642136,0.12864249789425383,4.0,crosses_zero
