group,setting,method,n,strength,reps,low_response_gain,low_response_gain_ci_low,low_response_gain_ci_high,high_response_gain,high_response_gain_ci_low,high_response_gain_ci_high,low_minus_high_gain,low_minus_high_gain_ci_low,low_minus_high_gain_ci_high,low_final_activation,high_final_activation,low_harm,high_harm
Semi-synthetic benchmarks,"ACIC 2016 B, $s=0$",ma_dr_bc,3000,0,96,0.00350131851543,-0.000843645582011,0.0100197421678,0.00152660674959,-0.000753906246964,0.0050446682979,0.00197471176584,-0.0037431010086,0.00897392540469,0.0729166666667,0.104166666667,0.0208333333333,0.03125
Semi-synthetic benchmarks,"ACIC 2016 B, $s=3$",aipw,3000,3,96,0.00877558404632,-0.0102444487811,0.0378062996583,0.00168108111922,-0.00108098557711,0.00471385982765,0.0070945029271,-0.0124325713935,0.0351879433758,0.09375,0.166666666667,0.0625,0.0729166666667
Semi-synthetic benchmarks,"ACIC 2016 B, $s=3$",ctmle,3000,3,96,0.00139172278911,-0.00141893333342,0.00552044870667,-0.000969788362962,-0.00764960468401,0.00437279236407,0.00236151115207,-0.00394543651409,0.0100298069737,0.0520833333333,0.166666666667,0.0208333333333,0.104166666667
Semi-synthetic benchmarks,"ACIC 2016 B, $s=3$",cui_selective_ml,3000,3,96,-0.0336467721424,-0.0788423992617,0.0041053930551,0.00121312738246,-0.0014899706579,0.00411404747585,-0.0348598995249,-0.0796989851698,0.00291884633725,0.239583333333,0.302083333333,0.177083333333,0.125
Semi-synthetic benchmarks,"ACIC 2016 B, $s=3$",ma_dr_bc,3000,3,96,0.00208763646545,-0.0020815670107,0.00792258548577,-0.000313963155923,-0.00446495675501,0.00364507932516,0.00240159962137,-0.00278926502022,0.00829877100139,0.09375,0.166666666667,0.03125,0.0625
Semi-synthetic benchmarks,"ACIC 2017 A, $s=0$",aipw,3000,0,96,0.00583699604709,-0.0274256652313,0.0338761962523,0.00229943876321,-0.00353862506997,0.00958064550624,0.00353755728388,-0.0300421910598,0.033305862446,0.0625,0.208333333333,0.0104166666667,0.09375
Semi-synthetic benchmarks,"ACIC 2017 A, $s=0$",ctmle,3000,0,96,-0.00412461240736,-0.0294026303719,0.0192510087403,0.0036038854867,-0.00563193154639,0.0139833794976,-0.00772849789406,-0.0348380404973,0.0185999248261,0.09375,0.125,0.0729166666667,0.0416666666667
Semi-synthetic benchmarks,"ACIC 2017 A, $s=0$",cui_selective_ml,3000,0,96,-0.000339251285169,-0.0274263089488,0.0241714553051,9.0585430219e-05,-0.00265927198183,0.00267205496322,-0.000429836715388,-0.0280094870519,0.0247207864743,0.09375,0.302083333333,0.0416666666667,0.166666666667
Semi-synthetic benchmarks,"ACIC 2017 A, $s=0$",ma_dr_bc,3000,0,96,-0.00113262864108,-0.00913177147401,0.00472594335575,0.00711734964728,0.00125934150048,0.0152848197744,-0.00824997828836,-0.0192288741719,0.000483212408481,0.0625,0.208333333333,0.0208333333333,0.0625
Semi-synthetic benchmarks,"ACIC 2017 A, $s=3$",aipw,3000,3,96,0.00388971881673,-0.0165585177172,0.0255650493612,0.00301164667617,-0.00147722760658,0.0093253237758,0.000878072140562,-0.0207716897378,0.023156309994,0.114583333333,0.177083333333,0.0416666666667,0.0833333333333
Semi-synthetic benchmarks,"ACIC 2017 A, $s=3$",ctmle,3000,3,96,0.023229682355,0.00967618527186,0.0396796858762,0.00147011936647,-0.000198505541021,0.00357441410885,0.0217595629885,0.00808864192566,0.0381996712916,0.177083333333,0.145833333333,0.0104166666667,0.0520833333333
Semi-synthetic benchmarks,"ACIC 2017 A, $s=3$",cui_selective_ml,3000,3,96,0.0336420540811,0.0131415831798,0.0580258511442,0.000113260322589,-0.000441638567028,0.000735496161407,0.0335287937585,0.0129770391018,0.0579088085472,0.354166666667,0.0833333333333,0.104166666667,0.0520833333333
Semi-synthetic benchmarks,"ACIC 2017 A, $s=3$",ma_dr_bc,3000,3,96,0.0169251066174,0.00237468389569,0.0359284975958,0.0027152001276,-0.00119401132317,0.00741708748616,0.0142099064899,-0.00149132889274,0.0339547836214,0.114583333333,0.177083333333,0.0104166666667,0.0833333333333
Semi-synthetic benchmarks,"ACIC 2017 B, $s=0$",aipw,3000,0,96,0.00995367209134,-0.00128148730391,0.0256576620567,-0.000549475623251,-0.00352508879216,0.00264051828949,0.0105031477146,-0.00135480874148,0.0262597345888,0.09375,0.1875,0.0208333333333,0.09375
Semi-synthetic benchmarks,"ACIC 2017 B, $s=0$",ctmle,3000,0,96,-0.0101131462565,-0.0304488162841,0.00487060331349,-0.000407289042289,-0.00484890636509,0.0027886790661,-0.00970585721421,-0.0302872183416,0.00600103658265,0.104166666667,0.0833333333333,0.0520833333333,0.03125
Semi-synthetic benchmarks,"ACIC 2017 B, $s=0$",cui_selective_ml,3000,0,96,-0.033669191165,-0.0679197227729,-0.00323307400696,-0.000762143666797,-0.00408086823892,0.00281920830929,-0.0329070474982,-0.0670441966723,-0.0026399753587,0.145833333333,0.21875,0.104166666667,0.125
Semi-synthetic benchmarks,"ACIC 2017 B, $s=0$",ma_dr_bc,3000,0,96,0.00220358794814,-0.0037751508097,0.00878066759271,-0.00258682713748,-0.0143445119789,0.00670475040506,0.00479041508563,-0.00684673541202,0.0176833117966,0.09375,0.1875,0.0520833333333,0.114583333333
Semi-synthetic benchmarks,"ACIC 2017 B, $s=3$",aipw,3000,3,96,-0.00432579074625,-0.011094164054,0.000461735349517,0.0018995860073,-0.00678832097476,0.0111306032628,-0.00622537675354,-0.0172100348038,0.00392046294733,0.0729166666667,0.114583333333,0.0520833333333,0.0416666666667
Semi-synthetic benchmarks,"ACIC 2017 B, $s=3$",ctmle,3000,3,96,-0.00136250001481,-0.00427255715397,4.16950606713e-05,0.0021571858365,-0.00297480546134,0.00777959128964,-0.00351968585131,-0.00988841704823,0.00188913452128,0.03125,0.114583333333,0.0208333333333,0.0625
Semi-synthetic benchmarks,"ACIC 2017 B, $s=3$",cui_selective_ml,3000,3,96,-0.031786372318,-0.0595214116173,-0.0097188351891,0.00382116062954,-0.000370041138463,0.00882818949225,-0.0356075329475,-0.0641672752939,-0.0121736121968,0.135416666667,0.229166666667,0.104166666667,0.104166666667
