dataset,setting,method,n,strength,c,reps,reference_mse,repaired_mse,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
acic2016,A_s0,cui_selective_ml,3000,0,1.5,96,0.00115690180942,0.00116413154691,-0.00624922307963,-0.017429991203,0.000910581987742,0.0625,0.0416666666667,0.0340002098491
acic2016,A_s0,cui_selective_ml,3000,0,1.75,96,0.00115690180942,0.00116367844083,-0.00585756834059,-0.0165201674821,0.000839891399906,0.0520833333333,0.03125,0.0293839498119
acic2016,A_s0,cui_selective_ml,3000,0,2,96,0.00115690180942,0.00116338758913,-0.00560616264228,-0.0156780400996,0.000621877089251,0.0520833333333,0.03125,0.0261411807374
acic2016,A_s0,cui_selective_ml,3000,0,2.25,96,0.00115690180942,0.00116310451446,-0.0053614792441,-0.0149966221156,0.000412698297819,0.0520833333333,0.03125,0.0228984116629
acic2016,A_s0,cui_selective_ml,3000,0,2.5,96,0.00115690180942,0.00116282921684,-0.00512351814602,-0.0142892107724,0.000205883918444,0.0520833333333,0.03125,0.0196556425884
acic2016,A_s0,cui_selective_ml,3000,0,2.75,96,0.00115690180942,0.00116248194338,-0.00482334275144,-0.0134780838731,0.000110926353004,0.0416666666667,0.03125,0.0169684998135
acic2016,A_s0,cui_selective_ml,3000,0,3,96,0.00115690180942,0.00116207723957,-0.00447352584602,-0.0127378295276,6.78254838745e-05,0.0416666666667,0.03125,0.0147232119178
acic2016,A_s0,cui_selective_ml,3000,0,3.25,96,0.00115690180942,0.00116167802008,-0.00412844946304,-0.0120631096882,2.70437218142e-05,0.0416666666667,0.03125,0.012477924022
acic2016,A_s0,cui_selective_ml,3000,0,3.5,96,0.00115690180942,0.00116126767692,-0.00377375803756,-0.0113176509925,0,0.03125,0.03125,0.0104843791221
acic2016,A_s0,cui_selective_ml,3000,0,3.75,96,0.00115690180942,0.00116082774884,-0.0033934940564,-0.0105871674402,0,0.03125,0.03125,0.00900112048794
acic2016,A_s0,cui_selective_ml,3000,0,4,96,0.00115690180942,0.00116042296446,-0.00304360751562,-0.00995445407767,0,0.0208333333333,0.0208333333333,0.00796531158655
acic2016,A_s0,cui_selective_ml,3000,0,4.25,96,0.00115690180942,0.00116003666953,-0.0027097028329,-0.00934293509262,0,0.0208333333333,0.0208333333333,0.00716106022737
acic2016,A_s0,cui_selective_ml,3000,0,4.5,96,0.00115690180942,0.00115983949361,-0.00253926837886,-0.00896944128209,0,0.0104166666667,0.0104166666667,0.00674879891155
acic2016,A_s0,cui_selective_ml,3000,0,4.75,96,0.00115690180942,0.00115974268703,-0.00245559094144,-0.00867386801076,0,0.0104166666667,0.0104166666667,0.00654502848071
