summary,method,c,settings,reps,gain,gain_ci_low,gain_ci_high,activation,harm,mean_weight
kang_schafer,cui_selective_ml,2,8,768,0.0453907863386,0.0259485423636,0.0656626502488,0.12890625,0.03125,0.0572197543151
kang_schafer,cui_selective_ml,2.25,8,768,0.0422265730547,0.0241472982954,0.0612678359298,0.1171875,0.0286458333333,0.0490641617075
kang_schafer,cui_selective_ml,2.5,8,768,0.0390543147044,0.0222646589649,0.0567779879585,0.104166666667,0.0260416666667,0.0424273592464
kang_schafer,cui_selective_ml,2.75,8,768,0.0357220378376,0.0203243399004,0.0521084506039,0.09765625,0.0234375,0.0365495943661
kang_schafer,cui_selective_ml,3,8,768,0.0323397292089,0.0181944862035,0.0474465147986,0.08984375,0.0208333333333,0.0313723050021
kang_schafer,cui_selective_ml,3.25,8,768,0.0289345802955,0.0161200660356,0.0427343309174,0.08203125,0.0182291666667,0.0267375562795
kang_schafer,cui_selective_ml,3.5,8,768,0.025484175866,0.0139318247033,0.038015562633,0.0768229166667,0.0169270833333,0.0226524380804
kang_schafer,cui_selective_ml,3.75,8,768,0.02212298355,0.0117707762647,0.0335563932665,0.0638020833333,0.0130208333333,0.0193814444116
kang_schafer,cui_selective_ml,4,8,768,0.0187792035062,0.00956199241267,0.0291749037381,0.05859375,0.0104166666667,0.0166415679129
kang_schafer,cui_selective_ml,4.25,8,768,0.0155984883909,0.00740298066069,0.0250883032063,0.0494791666667,0.0078125,0.0143133594615
kang_schafer,cui_selective_ml,4.5,8,768,0.0129006346185,0.00553988382155,0.0217032056832,0.0403645833333,0.0078125,0.0125032114768
kang_schafer,cui_selective_ml,4.75,8,768,0.0109575438094,0.0042526977431,0.0192135147124,0.0364583333333,0.0078125,0.0110073111559
kang_schafer,cui_selective_ml,5,8,768,0.00964351339522,0.00349895902913,0.0173476785226,0.0325520833333,0.00651041666667,0.00975089291499
kang_schafer,cui_selective_ml,6,8,768,0.00615435922477,0.00160512080265,0.0121439800312,0.0247395833333,0.00390625,0.0059026955715
kang_schafer,cui_selective_ml,8,8,768,0.00266576743948,0.000326349890409,0.00624907110476,0.0078125,0,0.00188334571651
kang_schafer,cui_selective_ml,10,8,768,0.000973569377614,3.6736681559e-05,0.00286656926712,0.00520833333333,0,0.000650750719792
ihdp,cui_selective_ml,0,4,384,-0.000992774681777,-0.00608153483454,0.00383208095794,0.0416666666667,0.0182291666667,0.0416666666667
ihdp,cui_selective_ml,0.25,4,384,-0.000391157834478,-0.00473030486442,0.0038186426629,0.0364583333333,0.015625,0.0295812015476
ihdp,cui_selective_ml,0.5,4,384,0.00014048958883,-0.00358412615902,0.00377942645696,0.03125,0.0130208333333,0.0242368688659
ihdp,cui_selective_ml,0.75,4,384,0.000495597733991,-0.00272813213862,0.00374948090538,0.0286458333333,0.0104166666667,0.0212780722465
ihdp,cui_selective_ml,1,4,384,0.000669228261638,-0.00208402242002,0.00354130781881,0.0286458333333,0.0104166666667,0.0188221518842
ihdp,cui_selective_ml,1.25,4,384,0.000835192293334,-0.00152988340968,0.00333966075448,0.0286458333333,0.0104166666667,0.0163662315219
ihdp,cui_selective_ml,1.5,4,384,0.000915330696259,-0.00108786722594,0.0030817346638,0.0260416666667,0.0078125,0.0143122928065
ihdp,cui_selective_ml,1.75,4,384,0.000970699102147,-0.000763107119494,0.00281052259639,0.0260416666667,0.0078125,0.0123573971631
ihdp,cui_selective_ml,2,4,384,0.000919025982306,-0.000596898971426,0.00250306344779,0.0208333333333,0.00520833333333,0.0108779534617
ihdp,cui_selective_ml,2.25,4,384,0.000778726049949,-0.000540685059155,0.00212795993707,0.0208333333333,0.00520833333333,0.00963353097773
ihdp,cui_selective_ml,2.5,4,384,0.000634734360989,-0.000494708962148,0.00178583336087,0.0208333333333,0.00520833333333,0.00838910849378
ihdp,cui_selective_ml,2.75,4,384,0.000487050915425,-0.000468154670336,0.0014598430238,0.0208333333333,0.00520833333333,0.00714468600982
ihdp,cui_selective_ml,3,4,384,0.000358282113522,-0.000446521217705,0.00121301026222,0.0182291666667,0.00520833333333,0.00594652261005
ihdp,cui_selective_ml,3.25,4,384,0.000311818881595,-0.000357383569461,0.0010780727262,0.0182291666667,0.00520833333333,0.00492296893867
ihdp,cui_selective_ml,3.5,4,384,0.000262767072836,-0.000281346524199,0.000953786842754,0.0182291666667,0.00520833333333,0.00389941526728
ihdp,cui_selective_ml,3.75,4,384,0.000228331584034,-0.000204437858697,0.000867975074323,0.015625,0.00520833333333,0.0029477330926
ihdp,cui_selective_ml,4,4,384,0.000220981915061,-0.000112738360716,0.00080576913028,0.0130208333333,0.00520833333333,0.00214293839765
ihdp,cui_selective_ml,4.25,4,384,0.000245068554842,-1.92749746023e-06,0.00077949519318,0.0078125,0.00260416666667,0.00169861416204
ihdp,cui_selective_ml,4.5,4,384,0.000227145196586,0,0.000735828239992,0.00260416666667,0,0.00153863907914
ihdp,cui_selective_ml,4.75,4,384,0.000218628956198,0,0.000708240202605,0.00260416666667,0,0.00147944310205
ihdp,cui_selective_ml,5,4,384,0.000210094893969,0,0.000680594432039,0.00260416666667,0,0.00142024712497
ihdp,cui_selective_ml,6,4,384,0.000175780426635,0,0.000569434017978,0.00260416666667,0,0.00118346321663
ihdp,cui_selective_ml,8,4,384,0.000106296043566,0,0.000344341997237,0.00260416666667,0,0.000709895399946
