source,dataset,setting,group,design,method,n,strength,seed0,rep,response_bin,response_bin_label,n_share,mean_true_pi,min_true_pi,max_true_pi,rho,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030300000,4,1,lowest_response,0.25,0.3111193362493925,0.05,0.7044240783170174,3.865320434793589,0.0,0.0,0.0,1.4622536744114683,1.4622536744114683,0.0,0.0,0.13584919998671877,0.13584919998671877,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,1,1,lowest_response,0.25,0.3171058307297091,0.05,0.7041491355967507,4.330650713091767,0.0072001690837899335,0.07505775048479738,0.03296715016049954,1.3471840915305209,1.4406599725436133,-0.09347588101309245,-0.06938612295138924,0.1270832001606903,0.13969546759994095,-0.012612267439250646,-0.09924417565266741,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,2,1,lowest_response,0.25,0.2662480399916684,0.05,0.7014913559675068,4.509120396725991,0.0,0.0,0.0,1.4638782850573153,1.4638782850573153,0.0,0.0,0.1239158076160831,0.1239158076160831,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,3,1,lowest_response,0.25,0.31193110879677843,0.05,0.7040574880233286,4.1607790570065335,0.0,0.0,0.0,1.441522760534258,1.441522760534258,0.0,0.0,0.12919060242109837,0.12919060242109837,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030400000,4,1,lowest_response,0.25,0.3183495077414427,0.05,0.7079066861070611,4.98798178643324,0.0,0.0,0.0,1.429876972572927,1.429876972572927,0.0,0.0,0.13843745538399932,0.13843745538399932,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,1,1,lowest_response,0.25,0.2851987419287649,0.05,0.7035992501562175,4.043100544106746,0.0,0.0,0.0,1.674067707050126,1.674067707050126,0.0,0.0,0.15453882080382952,0.15453882080382952,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,2,1,lowest_response,0.25,0.3010950579740332,0.05,0.7045157258904395,3.873904855456843,0.0,0.0,0.0,1.292715697687262,1.292715697687262,0.0,0.0,0.12405251409618852,0.12405251409618852,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,3,1,lowest_response,0.25,0.2722287912240505,0.05,0.7012164132472402,4.135885397980813,0.0,0.0,0.0,1.9112751221422393,1.9112751221422393,0.0,0.0,0.1613952948517224,0.1613952948517224,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030500000,4,1,lowest_response,0.25,0.31730299520933136,0.05,0.704744844823995,4.5355339834035036,0.0,0.0,0.0,1.4712071700129228,1.4712071700129228,0.0,0.0,0.12912562937722188,0.12912562937722188,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,1,1,lowest_response,0.25,0.2974033548566271,0.05,0.7035076025827953,4.09898543736062,0.0,0.0,0.0,1.6474082644008714,1.6474082644008714,0.0,0.0,0.13310227183745468,0.13310227183745468,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,2,1,lowest_response,0.25,0.3170219843088245,0.05,0.7076317433867945,3.398228704684347,0.0,0.0,0.0,1.3462621978373717,1.3462621978373717,0.0,0.0,0.13293890523434287,0.13293890523434287,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,3,1,lowest_response,0.25,0.2916839214052628,0.05,0.7043324307435951,4.432123312133209,0.0,0.0,0.0,1.5757904048794198,1.5757904048794198,0.0,0.0,0.12238725144654918,0.12238725144654918,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030600000,4,1,lowest_response,0.25,0.2639307227660904,0.05,0.699337637992085,4.216152163212473,0.0,0.0,0.0,1.5694415727248694,1.5694415727248694,0.0,0.0,0.1293379703510155,0.1293379703510155,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,1,1,lowest_response,0.25,0.2965655543983892,0.05,0.7030951885023954,4.568825976727686,0.0,0.0,0.0,1.4238946492988471,1.4238946492988471,0.0,0.0,0.12857870589815187,0.12857870589815187,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,2,1,lowest_response,0.25,0.30053837117267235,0.05,0.7068069152259946,4.319145537259723,0.0,0.0,0.0,1.5814479153682284,1.5814479153682284,0.0,0.0,0.12728868339766525,0.12728868339766525,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,3,1,lowest_response,0.25,0.32847820315212106,0.05,0.7037367215163508,4.300989508249013,0.0,0.0,0.0,1.3661516597265075,1.3661516597265075,0.0,0.0,0.1368551876904909,0.1368551876904909,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030700000,4,1,lowest_response,0.25,0.30352206623620076,0.05,0.7044240783170174,4.659493865364688,0.0,0.0,0.0,1.3466183150239563,1.3466183150239563,0.0,0.0,0.11964097998948758,0.11964097998948758,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,1,1,lowest_response,0.25,0.30996704297715755,0.05,0.7061653822120392,4.364048124560981,0.0,0.0,0.0,1.4237842348026042,1.4237842348026042,0.0,0.0,0.12632832266163715,0.12632832266163715,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,2,1,lowest_response,0.25,0.31240694299798655,0.05,0.7069443865861279,3.838505719990491,0.0,0.0,0.0,1.4240899717838946,1.4240899717838946,0.0,0.0,0.1391413733861598,0.1391413733861598,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,3,1,lowest_response,0.25,0.2631251822536972,0.05,0.699750052072485,4.029113235817665,0.0,0.0,0.0,2.014692206194914,2.014692206194914,0.0,0.0,0.14720739806394667,0.14720739806394667,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030800000,4,1,lowest_response,0.25,0.3192811553148649,0.05,0.706073734638617,3.9210371076262462,0.0,0.0,0.0,1.2974625122941512,1.2974625122941512,0.0,0.0,0.1281642600461944,0.1281642600461944,0.0,0.0,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,aipw,3000,0.0,2030900000,1,1,lowest_response,0.25,0.3411691786433382,0.05,0.7039658404499063,4.290045434441059,0.0,0.0,0.0,1.3367037025197477,1.3367037025197477,0.0,0.0,0.12823371985974263,0.12823371985974263,0.0,0.0,0.0,0.0
