dataset,setting,design,method,n,strength,response_bin,response_bin_label,reps,mean_n_share,mean_true_pi,min_true_pi,max_true_pi,mean_rho,path_activation,action_square_contribution,weighted_action_square_contribution,absolute_action_contribution,ref_weighted_residual_square_contribution,selected_weighted_residual_square_contribution,weighted_residual_square_delta,weighted_residual_square_reduction,ref_unweighted_residual_square_contribution,selected_unweighted_residual_square_contribution,unweighted_residual_square_delta,unweighted_residual_square_reduction,mean_rep_weighted_residual_square_delta
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,aipw,200,0.0,3,response_bin_3,96,0.25,0.5918299173302197,0.42268173540918724,0.7254335082720353,3.3506212586853423,0.7291666666666666,14.518734582754066,10.24991202928815,1.1255757204441812,39.6897908454167,36.92977085171844,2.760019993698265,0.0695397968824768,56.021594377601964,52.02809886124743,3.9934955163545354,0.07128493147548076,2.7600199936982577
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,aipw,200,0.0,4,highest_response,96,0.25,0.7968612969830339,0.6323100027955489,0.9891795297974221,3.3506212586853423,0.7291666666666666,14.651173712129191,3.881656922738438,1.148892138180187,17.604634571832875,16.51352846337104,1.0911061084618368,0.06197834462338614,77.02550152879355,72.10240051547926,4.9231010133142945,0.06391520880229451,1.0911061084618354
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ctmle,200,0.0,1,lowest_response,96,0.25,0.20477562295289783,0.006485865757953849,0.37175038193000387,0.3993109979082908,0.9270833333333334,20.31771663722284,120.78740473219756,1.565520906456756,1133.1465476972846,965.1768709437566,167.969676753528,0.14823296871429947,128.96965789618847,104.61823130569304,24.35142659049542,0.18881515999752918,167.96967675352798
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ctmle,200,0.0,2,response_bin_2,96,0.25,0.4109093463004115,0.26087245652800006,0.5598405924090303,0.3993109979082908,0.9270833333333334,14.594665661845648,21.96882823747038,1.3349353644007957,88.05419414242186,72.29442541524348,15.759768727178383,0.17897805869062855,58.70854927135181,48.08482183645766,10.62372743489415,0.18095707638407343,15.759768727178374
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ctmle,200,0.0,3,response_bin_3,96,0.25,0.5918299173302197,0.42268173540918724,0.7254335082720353,0.3993109979082908,0.9270833333333334,12.790068697759402,9.124344112337559,1.2435901000766776,39.503176376887716,32.862716196509815,6.6404601803779,0.16809939831225984,55.78495511417065,46.518192817870705,9.266762296299945,0.16611579730295378,6.640460180377896
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ctmle,200,0.0,4,highest_response,96,0.25,0.7968612969830339,0.6323100027955489,0.9891795297974221,0.3993109979082908,0.9270833333333334,14.668846496484404,3.865421178775215,1.3248156052850997,17.507338365833352,14.248914056312936,3.258424309520416,0.1861176291582638,76.5731366465884,63.164962715701506,13.408173930886889,0.17510284308673763,3.2584243095204157
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,cui_selective_ml,200,0.0,1,lowest_response,96,0.25,0.20477562295289783,0.006485865757953849,0.37175038193000387,1.153761783113335,0.0625,0.0025836957143459513,0.014183987428289128,0.005085421367078502,0.31235330260931854,0.3335232447555945,-0.021169942146275933,-0.0677756308943358,0.04752479640815243,0.050932038760992206,-0.003407242352839776,-0.07169399156553347,-0.02116994214627597
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,cui_selective_ml,200,0.0,2,response_bin_2,96,0.25,0.4109093463004115,0.26087245652800006,0.5598405924090303,1.153761783113335,0.0625,0.002047086650913994,0.0029297090792557955,0.004354151791558252,0.04164495866917987,0.04419052373546559,-0.0025455650662857196,-0.06112540743544104,0.027959042534355747,0.029768115047058754,-0.001809072512703007,-0.06470438000443113,-0.002545565066285727
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,cui_selective_ml,200,0.0,3,response_bin_3,96,0.25,0.5918299173302197,0.42268173540918724,0.7254335082720353,1.153761783113335,0.0625,0.0016133124611640893,0.0011390394193693065,0.0037741474147143825,0.01625799089551953,0.017180778995928188,-0.0009227881004086579,-0.05675904890947914,0.023290130335079318,0.024582717260901058,-0.0012925869258217405,-0.055499342735530366,-0.000922788100408658
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,cui_selective_ml,200,0.0,4,highest_response,96,0.25,0.7968612969830339,0.6323100027955489,0.9891795297974221,1.153761783113335,0.0625,0.001596001413530328,0.0004388774609663086,0.0038246714535550078,0.007094216760589534,0.0074120555321452305,-0.0003178387715556969,-0.04480251763963361,0.02927056045536855,0.03048045719039473,-0.0012098967350261808,-0.041334935723933874,-0.0003178387715556963
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ma_dr_bc,200,0.0,1,lowest_response,96,0.25,0.20477562295289783,0.006485865757953849,0.37175038193000387,3.3506212586853423,0.7291666666666666,25.992427885759252,162.10888317682694,1.5462011738864991,1116.9192341876926,993.8501518734744,123.06908231421824,0.11018619659077078,127.43440089653548,112.1465779413199,15.287822955215574,0.11996621671747665,123.06908231421801
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ma_dr_bc,200,0.0,2,response_bin_2,96,0.25,0.4109093463004115,0.26087245652800006,0.5598405924090303,3.3506212586853423,0.7291666666666666,14.406348724713363,21.96047396506842,1.1737116192288763,88.41884660591694,81.3382922481016,7.080554357815345,0.08007969601066389,58.966714308017885,53.99091113898432,4.975803169033561,0.08438325294914706,7.080554357815347
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ma_dr_bc,200,0.0,3,response_bin_3,96,0.25,0.5918299173302197,0.42268173540918724,0.7254335082720353,3.3506212586853423,0.7291666666666666,14.518734582754066,10.24991202928815,1.1255757204441812,39.6897908454167,36.92977085171844,2.760019993698265,0.0695397968824768,56.021594377601964,52.02809886124743,3.9934955163545354,0.07128493147548076,2.7600199936982577
Kang-Schafer,"KS CI, n=200",kang_schafer_ci,ma_dr_bc,200,0.0,4,highest_response,96,0.25,0.7968612969830339,0.6323100027955489,0.9891795297974221,3.3506212586853423,0.7291666666666666,14.651173712129191,3.881656922738438,1.148892138180187,17.604634571832875,16.51352846337104,1.0911061084618368,0.06197834462338614,77.02550152879355,72.10240051547926,4.9231010133142945,0.06391520880229451,1.0911061084618354
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,aipw,1000,0.0,1,lowest_response,96,0.25,0.20219661310068746,0.010498012765348794,0.34010186120097374,2.5448946817813245,0.5625,4.424662913999492,42.436410891683856,0.5050805673364852,502.45014489684354,443.61398189172,58.836163005123524,0.11709850937987687,51.61841218128683,47.44541376193889,4.172998419347941,0.08084321549241247,58.8361630051235
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,aipw,1000,0.0,2,response_bin_2,96,0.25,0.40971358861381607,0.28214671580746736,0.533046623596078,2.5448946817813245,0.5625,1.788542741247981,2.684771760540116,0.34060573478259465,42.30926297675774,41.05041064392093,1.2588523328368169,0.02975358690432295,28.06179761570863,27.262889252564495,0.798908363144136,0.028469607474359337,1.2588523328368197
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,aipw,1000,0.0,3,response_bin_3,96,0.25,0.5918447441695368,0.47410688887170677,0.7126956007617227,2.5448946817813245,0.5625,1.4721119623886845,1.0333177720149325,0.3106398401646005,16.06319215622703,15.97763965520285,0.08555250102417844,0.005325996239857744,22.448621599415997,22.373759358651657,0.07486224076433956,0.0033348257233881684,0.08555250102417923
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,aipw,1000,0.0,4,highest_response,96,0.25,0.7970513526181874,0.6581324907959195,0.9938376557188077,2.5448946817813245,0.5625,1.6727956144772798,0.4099278281398125,0.3250871673808154,5.367367571862643,5.373550525194349,-0.0061829533317059315,-0.001151952656292643,22.14337562990131,22.19907983037471,-0.05570420047340008,-0.0025156146652807188,-0.0061829533317055525
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ctmle,1000,0.0,1,lowest_response,96,0.25,0.20219661310068746,0.010498012765348794,0.34010186120097374,0.36248692191217896,0.8333333333333334,4.005970944824177,33.67196120871625,0.6465546583783744,498.6399418282815,410.5465394820719,88.09340234620959,0.17666736046697729,51.267857543235216,44.14936120560221,7.118496337633005,0.13884910894959546,88.09340234620959
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ctmle,1000,0.0,2,response_bin_2,96,0.25,0.40971358861381607,0.28214671580746736,0.533046623596078,0.36248692191217896,0.8333333333333334,1.78851390107939,2.696159664429095,0.4431870864037355,42.19942539608721,39.08458071078667,3.1148446853005396,0.07381249047977212,27.9896748865709,25.991339804428133,1.9983350821427663,0.07139543743330667,3.1148446853005383
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ctmle,1000,0.0,3,response_bin_3,96,0.25,0.5918447441695368,0.47410688887170677,0.7126956007617227,0.36248692191217896,0.8333333333333334,1.4918123744138436,1.0594706140442784,0.400798337977315,16.07502714941216,15.27133861559255,0.8036885338196118,0.04999609184790721,22.467931807470602,21.34313970104966,1.1247921064209407,0.05006211145998518,0.8036885338196104
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,ctmle,1000,0.0,4,highest_response,96,0.25,0.7970513526181874,0.6581324907959195,0.9938376557188077,0.36248692191217896,0.8333333333333334,1.693844990773951,0.40999954034475755,0.422308337549615,5.373167253890691,5.093377331771256,0.2797899221194351,0.05207169419802449,22.181837027460798,20.93329725688547,1.2485397705753272,0.0562865811803438,0.27978992211943493
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,cui_selective_ml,1000,0.0,1,lowest_response,96,0.25,0.20219661310068746,0.010498012765348794,0.34010186120097374,0.23531403680563379,1.0,80.72870467910589,579.8846663986582,3.3838269113781156,1421.3945230095408,720.366461764169,701.0280612453718,0.4931973846086547,145.6833680154522,60.9100389355065,84.77332907994571,0.5819012165544803,701.0280612453716
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,cui_selective_ml,1000,0.0,2,response_bin_2,96,0.25,0.40971358861381607,0.28214671580746736,0.533046623596078,0.23531403680563379,1.0,34.93973334929684,54.241638289333345,2.214073933577049,91.83139026633546,35.893164713186415,55.938225553149046,0.6091405715508968,59.734813936817886,23.748494803817962,35.986319132999924,0.6024346065773807,55.938225553149046
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,cui_selective_ml,1000,0.0,3,response_bin_3,96,0.25,0.5918447441695368,0.47410688887170677,0.7126956007617227,0.23531403680563379,1.0,21.659773337300148,15.650353074348095,1.7365843725392587,26.973271113764866,12.784737404735788,14.188533709029079,0.5260219885525288,37.203655375169824,17.925071223078408,19.278584152091415,0.518190590620248,14.188533709029079
Kang-Schafer,"KS IC, n=1000",kang_schafer_ic,cui_selective_ml,1000,0.0,4,highest_response,96,0.25,0.7970513526181874,0.6581324907959195,0.9938376557188077,0.23531403680563379,1.0,23.149438023907766,5.144897977851099,1.8114916183422223,7.850757687114004,4.304184341948093,3.5465733451659105,0.45174917969855943,36.088353031261676,18.19800899783917,17.890344033422505,0.4957373371382431,3.54657334516591
