dataset,setting,design,method,n,strength,reps,ref_mse,selected_mse,c2_mse,selected_gain,selected_gain_ci_low,selected_gain_ci_high,c2_gain,path_activation,c2_activation,selected_harm_rate,c2_harm_rate,mean_rho,sd_rho,mean_rho2,mean_p_rmse,mean_abs_kappa,mean_p_floor_share,mean_selected_tau,ref_weighted_residual_square,selected_weighted_residual_square,weighted_residual_square_reduction,weighted_residual_square_delta,ref_unweighted_residual_square,selected_unweighted_residual_square,unweighted_residual_square_reduction,unweighted_residual_square_delta,mean_rep_weighted_residual_square_reduction,mean_rep_unweighted_residual_square_reduction,replay_selected_gamma_match_failures,replay_selected_tau_match_failures,cui_propensity_learners,significance_class
IHDP,"IHDP A, strength=0",ihdp_semisynth,ctmle,3000,0.0,96,0.0007650311342005037,0.0007650311342005037,0.0007650311342005037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5280795075064598,0.01678442041129584,0.27914968301680826,0.2421875224466992,0.32126131688405724,0.0,0.5,1.0291627694200145,1.0291627694200145,0.0,0.0,0.4576383611438559,0.4576383611438559,0.0,0.0,0.0,0.0,0,0,,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,cui_selective_ml,3000,0.0,96,0.0006670987909683153,0.0006713233428591465,0.0006713233428591465,-0.006332723050957778,-0.01993655957833171,0.0,-0.006332723050957778,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.4987050295945717,0.09423635210591226,0.2575871966011521,0.17793080781766404,0.258846126860425,0.0009166666666666666,nan,0.16460547613593338,0.1649938794234385,-0.0023596012515669784,-0.00038840328750511244,0.05860798307107897,0.058835493504161986,-0.0038819017676670065,-0.0002275104330830141,-0.005315135813760088,-0.010562077958179225,0,0,gradient_boosting:42;logistic_l1:30;random_forest:24,crosses_zero
IHDP,"IHDP A, strength=0",ihdp_semisynth,ma_dr_bc,3000,0.0,96,0.0074531696000392856,0.007402447016694781,0.007402447016694781,0.006805505049051419,-0.009924455858689368,0.027915954770636596,0.006805505049051419,0.11458333333333333,0.11458333333333333,0.052083333333333336,0.052083333333333336,3.051693118453675,0.32591846828010856,9.419053737183567,0.22234766465285993,0.49779042233368886,0.10578819444444444,0.05000000000000001,1.0276210150143015,1.0528869745332143,-0.024586845879714936,-0.02526595951891286,0.4577092388499306,0.46554000122281036,-0.017108595825060968,-0.007830762372879774,-0.028809064762536113,-0.01765080545628843,0,0,,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,aipw,3000,3.0,96,0.004724292332800328,0.004493836316312768,0.004493836316312768,0.04878106608423127,-0.02471472806932925,0.12235687517076925,0.04878106608423127,0.21875,0.21875,0.07291666666666667,0.07291666666666667,3.0001791558242803,0.3794713470413792,9.145073470267889,0.22295356264613064,0.4930553656895522,0.10752430555555555,0.05000000000000001,3.2288375688810778,3.2633042164752606,-0.010674630376692251,-0.03446664759418283,0.5736757110176475,0.5979288900890943,-0.04227681006125206,-0.024253179071446862,-0.011091871781549925,-0.04323822046353235,0,0,,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,ctmle,3000,3.0,96,0.01247112435256111,0.01247112435256111,0.01247112435256111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533156786401816,0.016193407719061692,0.28451838533986745,0.24376574799054015,0.32354954806201713,0.0,0.5,3.172652276044898,3.172652276044898,0.0,0.0,0.5707498624694793,0.5707498624694793,0.0,0.0,0.0,0.0,0,0,,crosses_zero
IHDP,"IHDP A, strength=3",ihdp_semisynth,cui_selective_ml,3000,3.0,96,0.015786173880885535,0.01568341080077863,0.01568341080077863,0.006509688850655282,0.0018318789240360095,0.012486849606954849,0.006509688850655282,0.0625,0.0625,0.0,0.0,0.5092572160777945,0.09502588996922971,0.2683728318917497,0.17432366551181688,0.2552742883543387,0.0009479166666666667,nan,3.014602260921514,2.9965229154791384,0.005997257308779869,0.01807934544237577,0.2245656596303088,0.22623557878455647,-0.007436217794816846,-0.0016699191542476621,0.006373238065614421,-0.0083267029009313,0,0,gradient_boosting:52;logistic_l1:20;random_forest:24,win
IHDP,"IHDP A, strength=3",ihdp_semisynth,ma_dr_bc,3000,3.0,96,0.02743732489984493,0.026165364028081492,0.026165364028081492,0.04635877864939475,0.010912093023892839,0.08677440255336526,0.04635877864939475,0.21875,0.21875,0.0625,0.0625,3.0001791558242803,0.3794713470413792,9.145073470267889,0.22295356264613064,0.4930553656895522,0.10752430555555555,0.05000000000000001,3.2288375688810778,3.2633042164752606,-0.010674630376692251,-0.03446664759418283,0.5736757110176475,0.5979288900890943,-0.04227681006125206,-0.024253179071446862,-0.011091871781549925,-0.04323822046353235,0,0,,win
IHDP,"IHDP B, strength=0",ihdp_misaligned,aipw,3000,0.0,96,0.0037835277655176584,0.00363212990097371,0.00363212990097371,0.04001500026609006,0.009904257909487114,0.07794649917725383,0.04001500026609006,0.13541666666666666,0.13541666666666666,0.020833333333333332,0.020833333333333332,2.9906747564857437,0.3410276170414169,9.060435334666009,0.221820979536147,0.49379120605710874,0.10647222222222223,0.05000000000000001,1.0086579887234024,1.0445574512454971,-0.03559131333261001,-0.03589946252209475,0.4574879178054733,0.46790812296328027,-0.022777006238310582,-0.01042020515780695,-0.03686514190971857,-0.022688367704512425,0,0,,win
IHDP,"IHDP B, strength=0",ihdp_misaligned,ctmle,3000,0.0,96,0.0011000483345700858,0.0011000483345700858,0.0011000483345700858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5287048700930727,0.01763197088438461,0.27983972605740054,0.24220006619971632,0.32158709470868335,0.0,0.5,1.0134314039796288,1.0134314039796288,0.0,0.0,0.4576166233178736,0.4576166233178736,0.0,0.0,0.0,0.0,0,0,,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,cui_selective_ml,3000,0.0,96,0.0007336966218266803,0.0007368886805406952,0.0007368886805406952,-0.004350652052980353,-0.014762599328777392,0.0037696516723244996,-0.004350652052980353,0.041666666666666664,0.041666666666666664,0.03125,0.03125,0.5127763286097807,0.09702229657566802,0.2723528892153427,0.17623029549990474,0.26086060083618134,0.0008923611111111111,nan,0.17287720147104457,0.17642221530799707,-0.020505964966966772,-0.003545013836952493,0.061090853659789425,0.06224748111117478,-0.018932907008085476,-0.001156627451385353,-0.031354153833924016,-0.022895057459954047,0,0,gradient_boosting:45;logistic_l1:32;random_forest:19,crosses_zero
IHDP,"IHDP B, strength=0",ihdp_misaligned,ma_dr_bc,3000,0.0,96,0.008778271435809731,0.008309553538363088,0.008309553538363088,0.05339523855853612,0.003000606796389541,0.13389348134830442,0.05339523855853612,0.13541666666666666,0.13541666666666666,0.041666666666666664,0.041666666666666664,2.9906747564857437,0.3410276170414169,9.060435334666009,0.221820979536147,0.49379120605710874,0.10647222222222223,0.05000000000000001,1.0086579887234024,1.0445574512454971,-0.03559131333261001,-0.03589946252209475,0.4574879178054733,0.46790812296328027,-0.022777006238310582,-0.01042020515780695,-0.03686514190971857,-0.022688367704512425,0,0,,win
IHDP,"IHDP B, strength=3",ihdp_misaligned,aipw,3000,3.0,96,0.0033651650025805064,0.003209283045110023,0.003209283045110023,0.046322233040860805,-0.0008418355566361888,0.11214542210234238,0.046322233040860805,0.13541666666666666,0.13541666666666666,0.052083333333333336,0.052083333333333336,3.108653634700655,0.34544394011136687,9.78305893629726,0.22305704287260683,0.5033689468345192,0.10787847222222223,0.05000000000000001,1.0861951986931955,1.1259692901524228,-0.03661781188784441,-0.03977409145922728,0.4633990693155519,0.47454840104049695,-0.024059892354580725,-0.011149331724945033,-0.03525201020477379,-0.02373522799619519,0,0,,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ctmle,3000,3.0,96,0.0009110210726853294,0.0009110210726853294,0.0009110210726853294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5326692337789102,0.01771986334347079,0.28405050617152244,0.24279473084516012,0.322583309860335,0.0,0.5,1.0879081248181983,1.0879081248181983,0.0,0.0,0.46340963464855317,0.46340963464855317,0.0,0.0,0.0,0.0,0,0,,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,cui_selective_ml,3000,3.0,96,0.0008140338193297175,0.0008121353995263316,0.0008121353995263316,0.0023321141681178492,-0.010079674618474276,0.016050000159449403,0.0023321141681178492,0.07291666666666667,0.07291666666666667,0.041666666666666664,0.041666666666666664,0.4963182710677636,0.114943851910323,0.25954391528767634,0.17905212903985268,0.2546485590642726,0.0007534722222222222,nan,0.35853164907491913,0.3593152182440917,-0.0021854951193132077,-0.0007835691691725488,0.11983543154413145,0.1194870272808566,0.002907356019714036,0.00034840426327485685,-0.0036850087678894235,0.0030567620152506976,0,0,gradient_boosting:44;logistic_l1:14;random_forest:38,crosses_zero
IHDP,"IHDP B, strength=3",ihdp_misaligned,ma_dr_bc,3000,3.0,96,0.009228576166416279,0.009250080921570767,0.009250080921570767,-0.0023302354303305073,-0.038713820626860435,0.032717728855153415,-0.0023302354303305073,0.13541666666666666,0.13541666666666666,0.07291666666666667,0.07291666666666667,3.108653634700655,0.34544394011136687,9.78305893629726,0.22305704287260683,0.5033689468345192,0.10787847222222223,0.05000000000000001,1.0861951986931955,1.1259692901524228,-0.03661781188784441,-0.03977409145922728,0.4633990693155519,0.47454840104049695,-0.024059892354580725,-0.011149331724945033,-0.03525201020477379,-0.02373522799619519,0,0,,crosses_zero
Kang-Schafer,"KS CC, n=1000",kang_schafer_cc,aipw,1000,0.0,96,4.643128695645413,3.2269073719412185,3.2269073719412185,0.3050144453313144,0.12950430265124194,0.4444085059655993,0.3050144453313144,0.9791666666666666,0.9791666666666666,0.375,0.375,2.502811844367001,0.2822949669999215,6.343757576697236,0.2609569748207383,1.3021468580255675,0.1570625,0.05000000000000001,608.5099360364206,453.9452302858929,0.254005229162399,154.56470575052776,124.25376796714228,99.40234545683614,0.20000538347358499,24.851422510306136,0.24698572384954184,0.19902018072936212,0,0,,win
