source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_tau,correction_tau,cui_selected_propensity_learner,rho,rho2,p_rmse,mean_abs_kappa,p_floor_share,ref_weighted_residual_square,selected_weighted_residual_square,weighted_residual_square_reduction,ref_unweighted_residual_square,selected_unweighted_residual_square,unweighted_residual_square_reduction,replay_selected_tau,replay_selected_gamma,selected_tau_matches,selected_gamma_matches,ref_error,selected_error,c2_error,selected_gamma,c2_weight
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031200000,3,nan,0.05,random_forest,0.43343448506696886,0.18786545284526845,0.1952867117277598,0.24640076143218534,0.0,0.5754199686582051,0.5492065690582538,0.045555248388541525,0.20725579909085975,0.1841482590895296,0.11149285135901044,0.05,0.25,True,True,-0.012393630214278846,-0.014614312349667964,-0.014614312349667964,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031200000,4,nan,0.05,random_forest,0.475995183952868,0.22657141514632462,0.1884581919004025,0.25312519668419675,0.0,0.9299496596862454,0.9299496596862454,0.0,0.1778578848547762,0.1778578848547762,0.0,0.05,0.0,True,True,0.001634143539723679,0.001634143539723679,0.001634143539723679,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031300000,1,nan,0.05,random_forest,0.43736338555515913,0.19128673102427077,0.19109561021150734,0.24282006500382325,0.0,0.5624497922687273,0.5624497922687273,0.0,0.22283219489684764,0.22283219489684764,0.0,0.05,0.0,True,True,-0.007404862108984204,-0.007404862108984204,-0.007404862108984204,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031300000,2,nan,0.05,random_forest,0.4955677967162097,0.24558744114215855,0.19695383795812785,0.26114754835122533,0.0,1.06587701142839,1.06587701142839,0.0,0.293501845576132,0.293501845576132,0.0,0.05,0.0,True,True,-0.05183415385087761,-0.05183415385087761,-0.05183415385087761,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031300000,3,nan,0.05,random_forest,0.462891462316157,0.2142685058851902,0.19867753740057253,0.2538254423022216,0.0,0.8649340041186683,0.9050639095653372,-0.04639649413201141,0.2024335180522394,0.19242191010844978,0.04945627601653424,0.05,0.25,True,True,-0.03921658815452909,-0.04230794778396696,-0.04230794778396696,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031300000,4,nan,0.05,random_forest,0.48082359185170226,0.23119132648117238,0.1971822987182858,0.25643367005084017,0.0,0.8326428164396308,0.7887605066844653,0.05270244201806207,0.2097432180087614,0.19287648303610205,0.08041611610991295,0.05,0.25,True,True,0.050782710831478846,0.05572790353917639,0.05572790353917639,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031400000,1,nan,0.05,random_forest,0.4496355311367548,0.20217211086063158,0.19227102422916972,0.2469865947468674,0.0,1.157860253021701,1.0880920907615612,0.06025611646834228,0.298116354872885,0.26968094994984676,0.09538357912353701,0.05,0.25,True,True,-0.02477306891662105,-0.032730590727213744,-0.032730590727213744,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031400000,2,nan,0.05,random_forest,0.4311309133860291,0.18587386447707172,0.18952096366771903,0.23692420692515767,0.0,0.6774352250914418,0.6814618694650179,-0.005943954823182551,0.22965593956428007,0.2168594981170188,0.05572005440634198,0.05,0.25,True,True,0.029779844412408205,0.028773628048943824,0.028773628048943824,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031400000,3,nan,0.05,gradient_boosting,0.7491695995181692,0.5612550888422141,0.14588682955759202,0.23600492250828087,0.0013333333333333333,1.3580930006482062,1.3712067571220656,-0.009656007701682068,0.31023106987213334,0.2982211617042842,0.03871278325797356,0.05,0.25,True,True,0.023735077887138075,0.022753278674681063,0.022753278674681063,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031400000,4,nan,0.05,random_forest,0.510802707664692,0.26091940615758086,0.19022904887653316,0.24898262524060313,0.0,1.4318430278172865,1.4318430278172865,0.0,0.3025357278266272,0.3025357278266272,0.0,0.05,0.0,True,True,-0.06561466614641846,-0.06561466614641846,-0.06561466614641846,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031500000,1,nan,0.05,gradient_boosting,0.6987938964087581,0.48831290965813423,0.1527011423896801,0.2295869294623316,0.008333333333333333,0.6213930284586543,0.6213930284586543,0.0,0.17337835150739658,0.17337835150739658,0.0,0.05,0.0,True,True,0.01274699003566134,0.01274699003566134,0.01274699003566134,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031500000,2,nan,0.05,random_forest,0.46736765757396215,0.21843252734617233,0.18984472424109597,0.24676831691180517,0.0,1.1232486549555134,1.08254388793649,0.036238429344600975,0.28078072099584905,0.25894906572110016,0.0777533984431632,0.05,0.25,True,True,-0.027681454669717716,-0.027847784713050078,-0.027847784713050078,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031500000,3,nan,0.05,random_forest,0.44025988412762923,0.1938287655720735,0.1901972883886208,0.24209664293410157,0.0,1.2877206672081956,1.2877206672081956,0.0,0.3068184941897806,0.3068184941897806,0.0,0.05,0.0,True,True,-0.0473388883595289,-0.0473388883595289,-0.0473388883595289,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031500000,4,nan,0.05,random_forest,0.44920352352367326,0.2017838055460833,0.19291429228562346,0.2505595697951188,0.0,0.6619349234465153,0.6619349234465153,0.0,0.19987384769298114,0.19987384769298114,0.0,0.05,0.0,True,True,-0.0059526667077975035,-0.0059526667077975035,-0.0059526667077975035,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031600000,1,nan,0.05,random_forest,0.44400160917129483,0.19713742894669925,0.18642989490859393,0.23281327676318703,0.0,1.1309484709667001,1.1309484709667001,0.0,0.27007794270595886,0.27007794270595886,0.0,0.05,0.0,True,True,-0.0023774523914492475,-0.0023774523914492475,-0.0023774523914492475,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031600000,2,nan,0.05,gradient_boosting,0.50476951113915,0.2547922593756565,0.13778390929709292,0.21638088749986548,0.004333333333333333,0.7126395745467959,0.7126395745467959,0.0,0.18384647613599592,0.18384647613599592,0.0,0.05,0.0,True,True,-0.03721177451433885,-0.03721177451433885,-0.03721177451433885,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031600000,3,nan,0.05,random_forest,0.4283852142447255,0.18351389178349936,0.18757843959843604,0.2355637012961497,0.0,0.8528362185914675,0.8528362185914675,0.0,0.1892160783065792,0.1892160783065792,0.0,0.05,0.0,True,True,-0.02103932830705733,-0.02103932830705733,-0.02103932830705733,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031600000,4,nan,0.05,gradient_boosting,0.5384906190317751,0.28997214678522437,0.1413444441031001,0.21507667210923803,0.0006666666666666666,0.8326061747641931,0.8326061747641931,0.0,0.1813442877429481,0.1813442877429481,0.0,0.05,0.0,True,True,0.008282651680229286,0.008282651680229286,0.008282651680229286,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031700000,1,nan,0.05,gradient_boosting,0.7246747706217733,0.5251535231757198,0.1474709569950107,0.23367131687790482,0.005333333333333333,0.7419668661453296,0.7419668661453296,0.0,0.2789435245030328,0.2789435245030328,0.0,0.05,0.0,True,True,0.03093424657950902,0.03093424657950902,0.03093424657950902,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031700000,2,nan,0.05,logistic_l1,4.991748813728613,24.91755621936101,0.19989747948881406,0.387888450394583,0.007666666666666666,0.9085099619681107,0.9085099619681107,0.0,0.26537939027739926,0.26537939027739926,0.0,0.05,0.0,True,True,-0.03494360506832781,-0.03494360506832781,-0.03494360506832781,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031700000,3,nan,0.05,gradient_boosting,0.5939272587733706,0.35274958871405027,0.1479025313593727,0.2300650885798828,0.005666666666666667,0.7117831745695551,0.764655522284235,-0.07428153629320322,0.21845241147354386,0.20462210600869699,0.06331038129337296,0.05,0.25,True,True,0.07699625724845245,0.07285733815415245,0.07285733815415245,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031700000,4,nan,0.05,gradient_boosting,0.4875321626543194,0.23768760962239777,0.14403362672522071,0.2201505733717113,0.0026666666666666666,0.6683270246553078,0.6683270246553078,0.0,0.1802042694371977,0.1802042694371977,0.0,0.05,0.0,True,True,-0.016494909337993274,-0.016494909337993274,-0.016494909337993274,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031800000,1,nan,0.05,random_forest,0.47144710783490695,0.2222623754858984,0.19275341414901384,0.25044326530106054,0.0,1.0701595901813046,1.0003220631951195,0.0652589834515741,0.3366187980515942,0.31194831781774623,0.07328907469411938,0.05,0.25,True,True,0.0338238917040026,0.03849671552086692,0.03849671552086692,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031800000,2,nan,0.05,gradient_boosting,0.7877173660120778,0.6204986487170057,0.14361932678859934,0.23085134235014712,0.0033333333333333335,0.5886807473229989,0.5886807473229989,0.0,0.17950608827015807,0.17950608827015807,0.0,0.05,0.0,True,True,0.02590304788978384,0.02590304788978384,0.02590304788978384,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031800000,3,nan,0.05,random_forest,0.47155004630468866,0.22235944616995404,0.1907012521212262,0.24930571839802743,0.0,0.7544715183735631,0.7099006760862273,0.05907557966325683,0.27737269210355225,0.25386593615150066,0.0847479100187547,0.05,0.25,True,True,0.028250971632252896,0.0296681016913841,0.0296681016913841,0.25,1.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031800000,4,nan,0.05,random_forest,0.457926978633149,0.2096971177600845,0.18756918472317952,0.25299641515338583,0.0,0.8829154801042901,0.8829154801042901,0.0,0.24971637421286805,0.24971637421286805,0.0,0.05,0.0,True,True,0.03524003603842243,0.03524003603842243,0.03524003603842243,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031900000,1,nan,0.05,random_forest,0.5109974280904885,0.26111837151509404,0.19775242653811317,0.2695097897226251,0.0,1.0223629202835598,1.0223629202835598,0.0,0.28549132026551677,0.28549132026551677,0.0,0.05,0.0,True,True,-0.007669150779167248,-0.007669150779167248,-0.007669150779167248,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031900000,2,nan,0.05,random_forest,0.4989483435068563,0.24894944948823589,0.18859379786223357,0.2500826577470055,0.0,0.6108010146269293,0.6108010146269293,0.0,0.17391204318505274,0.17391204318505274,0.0,0.05,0.0,True,True,-0.006027331360160776,-0.006027331360160776,-0.006027331360160776,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031900000,3,nan,0.05,random_forest,0.4672486776830889,0.2183213267965951,0.19054447216328763,0.24900219050158012,0.0,0.49185044825557506,0.49185044825557506,0.0,0.1931849235385648,0.1931849235385648,0.0,0.05,0.0,True,True,0.005043820328671879,0.005043820328671879,0.005043820328671879,0.0,0.0
real_benchmark_ihdp_acic2016,ACIC 2016,"ACIC 2016 A, strength=0",real_benchmark,acic2016_semisynth,cui_selective_ml,3000,0.0,2031900000,4,nan,0.05,gradient_boosting,0.579599694338861,0.3359358056777011,0.1499374496050612,0.23090812011364723,0.007666666666666666,1.085827925070858,1.085827925070858,0.0,0.2859480680025893,0.2859480680025893,0.0,0.05,0.0,True,True,0.0381287554318048,0.0381287554318048,0.0381287554318048,0.0,0.0
