block,panel,dataset,method,method_label,c,cells,equal_cell_relative_mse_reduction,ci_lo,ci_hi,mean_activation,mean_harm_rate,equal_cell_gross_harm_mse,equal_cell_gross_benefit_mse
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,1,3,-0.002866826787235969,-0.010526839706142953,0.002926860357699223,0.024305555555555552,0.010416666666666666,0.0050107416289291848,0.002143914841693309
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,2,3,0.00036647749825613474,-0.00087366182539886739,0.0022381849240331771,0.010416666666666666,0.0069444444444444441,0.00037459676371911534,0.00074107426197522318
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,3,3,0.00039739189633543798,0,0.0013360538152909973,0.003472222222222222,0,0,0.00039739189633544459
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,4,3,2.6710217703988331e-05,0,9.0944458351390264e-05,0.003472222222222222,0,0,2.6710217704007907e-05
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,5,3,0,0,0,0,0,0,0
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,6,3,0,0,0,0,0,0,0
emphasized,d0_cui,aligned anchor,cui_selective_ml,selective ML,8,3,0,0,0,0,0,0,0
natural,ks_aipw,Kang--Schafer,aipw,AIPW,0,8,0.020636319882454499,0.0061213187976226239,0.037448495536078374,0.024739583333333332,0.0091145833333333322,0.0019118146313654306,0.022548134513819922
natural,ks_aipw,Kang--Schafer,aipw,AIPW,1,8,0.015772980794523481,0.0027904797078921492,0.031380778579990547,0.014322916666666668,0.00390625,0.00085433922054702874,0.016627320015070498
natural,ks_aipw,Kang--Schafer,aipw,AIPW,2,8,0.015434375003652995,0.0027932219552837269,0.030421318663058212,0.010416666666666666,0.0013020833333333333,0.0004156276466331258,0.015850002650286139
natural,ks_aipw,Kang--Schafer,aipw,AIPW,3,8,0.014934748852775875,0.0027516131824884636,0.029348023955713891,0.010416666666666666,0.0013020833333333333,0.00027231879925481643,0.015207067652030658
natural,ks_aipw,Kang--Schafer,aipw,AIPW,4,8,0.014322045915331705,0.0026939848252749716,0.02823371386692633,0.0091145833333333322,0.0013020833333333333,0.00014987114599193674,0.014471917061323662
natural,ks_aipw,Kang--Schafer,aipw,AIPW,5,8,0.013663655007063694,0.0026247597015706015,0.026566403008016461,0.0078125,0.0013020833333333333,4.8284686844486912e-05,0.013711939693908153
natural,ks_aipw,Kang--Schafer,aipw,AIPW,6,8,0.012907839147938263,0.0024953769883013597,0.025083555024639798,0.0065104166666666661,0,0,0.012907839147938291
natural,ks_aipw,Kang--Schafer,aipw,AIPW,8,8,0.011132230473546695,0.0021010685113662655,0.021731436179578525,0.0065104166666666661,0,0,0.011132230473546677
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,0,8,0.14892872052329947,0.12523583945637967,0.17184426151276008,0.77734375,0.24739583333333331,0.041739815960705723,0.19066853648400528
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,1,8,0.060926153478550127,0.044543953215661507,0.078289530582686201,0.23697916666666666,0.05078125,0.0106237172711512,0.071549870749701455
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,2,8,0.034115600553697945,0.021376934751536965,0.048007041112781972,0.12369791666666666,0.027343749999999997,0.0046893884822086446,0.038804989035906734
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,3,8,0.023183846862217444,0.013397402508029404,0.034376479265448026,0.069010416666666671,0.014322916666666666,0.002373827382216634,0.025557674244434177
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,4,8,0.016500559511917021,0.0087392642536519866,0.025885387831872941,0.052083333333333329,0.010416666666666668,0.00086563414550997766,0.017366193657427136
natural,ks_ctmle,Kang--Schafer,ctmle,C-TMLE,5,8,0.011148128211720232,0.0047797950810932188,0.018970863157448198,0.032552083333333336,0.0026041666666666665,0.00012229904867940507,0.01127042726039976
