source,dataset,setting,group,design,method,n,strength,seed0,rep,selected_gamma,ref_error,selected_error,mse_gain,n_eval,eta,delta_inf,rho2,q0,qg,G_xi,E_xi_m0,E_xi_mg,D_xi_gamma,bias0,biasg,bias0_sq,biasg_sq,A0,Ag,variance_reduction,B_global,B_local,B_min,variance_bound_rhs,variance_bound_slack,variance_bound_violation,variance_certifies_improvement,bias_abs_bound,bias_path_bound,bias_min_bound,bias_abs_slack,bias_path_slack,bias_min_slack,bias_bound_violation,bias_abs_term_tighter,bias_path_term_tighter
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024100000,3,0.0,-0.08085230028666052,-0.08085230028666052,0.0,3000.0,0.0010936260223388672,0.9286128997802734,1.6494239969480282,9.01889361986876,9.01889361986876,0.0,2.8399333743928583,2.8399333743928583,0.0,-0.08755985102848114,-0.08755985102848114,0.00766672751212981,0.00766672751212981,0.0034588779654231823,0.0034588779654231823,0.0,1632285.8049853835,0.0,0.0,0.0034588779654231823,0.0,0.0,0.0,4.6842542574571695,0.00766672751212981,0.00766672751212981,4.6765875299450395,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024100000,4,0.0,-0.1187009740687929,-0.1187009740687929,0.0,3000.0,0.0007780790328979492,0.8682494282722473,1.3311448906306143,9.570851841760202,9.570851841760202,0.0,2.773425070245946,2.773425070245946,0.0,-0.05266203494156883,-0.05266203494156883,0.002773289924187017,0.002773289924187017,0.0037074195261483462,0.0037074195261483462,0.0,3159437.233886665,0.0,0.0,0.0037074195261483462,0.0,0.0,0.0,3.6918306118047433,0.002773289924187017,0.002773289924187017,3.689057321880556,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024200000,1,0.0,-0.10114247326714937,-0.10114247326714937,0.0,3000.0,0.001156926155090332,0.837142539024353,1.2749655111179712,8.21175452907689,8.21175452907689,0.0,2.9261628365645724,2.9261628365645724,0.0,-0.06663436250499034,-0.06663436250499034,0.004440138266446463,0.004440138266446463,0.003206169171565553,0.003206169171565553,0.0,1243783.6935614785,0.0,0.0,0.003206169171565553,0.0,0.0,0.0,3.7307566965349626,0.004440138266446463,0.004440138266446463,3.726316558268516,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024200000,2,0.0,-0.034435480173792526,-0.034435480173792526,0.0,3000.0,0.0018469691276550293,0.8921213269233703,1.3911326218262636,7.318920960766639,7.318920960766639,0.0,2.032397167671955,2.032397167671955,0.0,-0.09154389182331905,-0.09154389182331905,0.008380284130159541,0.008380284130159541,0.002954518652122575,0.002954518652122575,0.0,497618.9172714909,0.0,0.0,0.002954518652122575,0.0,0.0,0.0,2.827334000455759,0.008380284130159541,0.008380284130159541,2.8189537163255993,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024200000,3,0.0,-0.07902424843334799,-0.07902424843334799,0.0,3000.0,0.0014132261276245117,0.8221194267272949,1.3754752387851412,7.275268926564126,7.275268926564126,0.0,2.266255996238983,2.266255996238983,0.0,-0.058729720521979153,-0.058729720521979153,0.0034491800725897793,0.0034491800725897793,0.002892144276827846,0.002892144276827846,0.0,737013.0107212386,0.0,0.0,0.002892144276827846,0.0,0.0,0.0,3.117179007575073,0.0034491800725897793,0.0034491800725897793,3.113729827502483,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024200000,4,0.5,-0.09106924357680352,-0.037423188261771934,0.8311355965555138,3000.0,0.001519620418548584,0.8547036170959472,1.2961429763449805,8.699697863555985,8.467475923875295,0.23222193968068972,2.734636661272981,2.50241472159229,1.4993256296705086,-0.0542991230297679,-0.00967407893742486,0.0029483947618018707,9.358780328752733e-05,0.003416930997537515,0.0033500058566919696,6.692514084554553e-05,834449.2989690991,475799.6282285142,475799.6282285142,158.60321559985573,158.59986559399903,0.0,0.0,3.2434872652941262,7.195338720303695,3.2434872652941262,3.2433936774908387,7.195245132500408,3.2433936774908387,0.0,1.0,0.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024300000,1,0.0,-0.047216132314832834,-0.047216132314832834,0.0,3000.0,0.0015031099319458008,0.9278990745544433,1.3458456629920759,9.187158715069401,9.187158715069401,0.0,2.970891515615824,2.970891515615824,0.0,-0.08369543731215706,-0.08369543731215706,0.007004926226873213,0.007004926226873213,0.0035374195085430323,0.0035374195085430323,0.0,879649.6803112016,0.0,0.0,0.0035374195085430323,0.0,0.0,0.0,3.998361461511512,0.007004926226873213,0.007004926226873213,3.991356535284639,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024300000,2,0.0,-0.07935461718366542,-0.07935461718366542,0.0,3000.0,0.0017693638801574707,0.7913312822029035,0.9389685827991359,7.872201976152341,7.872201976152341,0.0,2.286558110520125,2.286558110520125,0.0,-0.07778025331615444,-0.07778025331615444,0.006049767805925154,0.006049767805925154,0.0031112799877582825,0.0031112799877582825,0.0,440582.30359557015,0.0,0.0,0.0031112799877582825,0.0,0.0,0.0,2.1470062285229514,0.006049767805925154,0.006049767805925154,2.1409564607170264,0.0,0.0,0.0,0.0,1.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024300000,3,0.5,-0.04167888603628166,-0.023845347088890603,0.672678079385733,3000.0,0.000791013240814209,0.926525068283081,2.011420926499565,9.189941332568534,10.258294779944249,-1.0683534473757152,2.4335406034806266,3.501894050856341,1.445509220147617,-0.039490816340770854,0.010787424767270048,0.0015595245752604943,0.00011636853310951126,0.003545609941946116,0.003882901220008,-0.00033729127806188383,3573314.7246119897,2093550.7402927224,2093550.7402927224,697.8541484919986,697.8502655907786,0.0,0.0,7.043782976276775,10.454146907598457,7.043782976276775,7.043666607743666,10.454030539065347,7.043666607743666,0.0,1.0,0.0
real_benchmark_ihdp_acic2016,IHDP,"IHDP A, strength=3",real_benchmark,ihdp_semisynth,tmle,3000,3.0,2024300000,4,0.0,-0.09835932130989761,-0.09835932130989761,0.0,3000.0,0.0009018182754516602,0.8567227244377136,1.5072629557835417,9.033901956255994,9.033901956255994,0.0,2.870009123145267,2.870009123145267,0.0,-0.04245432345345641,-0.04245432345345641,0.0018023695798906993,0.0018023695798906993,0.0035414034985442105,0.0035414034985442105,0.0,2106057.973878279,0.0,0.0,0.0035414034985442105,0.0,0.0,0.0,4.325858434077666,0.0018023695798906993,0.0018023695798906993,4.324056064497775,0.0,0.0,0.0,0.0,1.0
